episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
0,923,92.3,1.0,0.1,1.0
10,930,93.0,1.0,0.1,0.9955
20,907,90.7,1.0,0.1,0.9905
30,857,85.7,2.0,0.2,0.9855
40,903,90.3,2.0,0.2,0.9805
50,907,90.7,1.0,0.1,0.9755
60,893,89.3,2.0,0.2,0.9705
70,904,90.4,1.0,0.1,0.9655
80,905,90.5,1.0,0.1,0.9605
90,902,90.2,2.0,0.2,0.9555
100,802,80.2,3.0,0.3,0.9505
110,887,88.7,2.0,0.2,0.9455
120,902,90.2,1.0,0.1,0.9405
130,823,82.3,2.0,0.2,0.9355
140,862,86.2,2.0,0.2,0.9305
150,873,87.3,3.0,0.3,0.9255
160,793,79.3,3.0,0.3,0.9205
170,662,66.2,4.0,0.4,0.9155
180,652,65.2,4.0,0.4,0.9105
190,685,68.5,5.0,0.5,0.9055
200,609,60.9,5.0,0.5,0.9005
210,661,66.1,4.0,0.4,0.8955
220,670,67.0,4.0,0.4,0.8905
230,552,55.2,6.0,0.6,0.8855
240,481,48.1,7.0,0.7,0.8805
250,476,47.6,7.0,0.7,0.8755
260,524,52.4,7.0,0.7,0.8705
270,563,56.3,7.0,0.7,0.8655
280,455,45.5,8.0,0.8,0.8605
290,429,42.9,8.0,0.8,0.8555
300,380,38.0,8.0,0.8,0.8505
310,357,35.7,9.0,0.9,0.8455
320,305,30.5,9.0,0.9,0.8405
330,294,29.4,9.0,0.9,0.8355
340,293,29.3,9.0,0.9,0.8305
350,274,27.4,10.0,1.0,0.8255
360,304,30.4,9.0,0.9,0.8205
370,347,34.7,9.0,0.9,0.8155
380,283,28.3,10.0,1.0,0.8105
390,241,24.1,10.0,1.0,0.8055
400,304,30.4,9.0,0.9,0.8005
410,242,24.2,10.0,1.0,0.7955
420,300,30.0,10.0,1.0,0.7905
430,293,29.3,9.0,0.9,0.7855
440,312,31.2,9.0,0.9,0.7805
450,281,28.1,10.0,1.0,0.7755
460,294,29.4,9.0,0.9,0.7705
470,231,23.1,10.0,1.0,0.7655
480,246,24.6,10.0,1.0,0.7605
490,230,23.0,10.0,1.0,0.7555
500,242,24.2,10.0,1.0,0.7505
510,229,22.9,10.0,1.0,0.7455
520,246,24.6,10.0,1.0,0.7405
530,234,23.4,10.0,1.0,0.7355
540,234,23.4,10.0,1.0,0.7305
550,228,22.8,10.0,1.0,0.7255
560,234,23.4,10.0,1.0,0.7205
570,230,23.0,10.0,1.0,0.7155
580,224,22.4,10.0,1.0,0.7105
590,228,22.8,10.0,1.0,0.7055
600,233,23.3,10.0,1.0,0.7005
610,233,23.3,10.0,1.0,0.6955
620,231,23.1,10.0,1.0,0.6905
630,240,24.0,10.0,1.0,0.6855
640,233,23.3,10.0,1.0,0.6805
650,233,23.3,10.0,1.0,0.6755
660,236,23.6,10.0,1.0,0.6705
670,226,22.6,10.0,1.0,0.6655
680,235,23.5,10.0,1.0,0.6605
690,228,22.8,10.0,1.0,0.6555
700,232,23.2,10.0,1.0,0.6505
710,228,22.8,10.0,1.0,0.6455
720,225,22.5,10.0,1.0,0.6405
730,234,23.4,10.0,1.0,0.6355
740,238,23.8,10.0,1.0,0.6305
750,233,23.3,10.0,1.0,0.6255
760,227,22.7,10.0,1.0,0.6205
770,235,23.5,10.0,1.0,0.6155
780,223,22.3,10.0,1.0,0.6105
790,231,23.1,10.0,1.0,0.6055
800,232,23.2,10.0,1.0,0.6005
810,227,22.7,10.0,1.0,0.5955
820,227,22.7,10.0,1.0,0.5905
830,229,22.9,10.0,1.0,0.5855
840,236,23.6,10.0,1.0,0.5805
850,236,23.6,10.0,1.0,0.5755
860,229,22.9,10.0,1.0,0.5705
870,238,23.8,10.0,1.0,0.5655
880,233,23.3,10.0,1.0,0.5605
890,234,23.4,10.0,1.0,0.5555
900,239,23.9,10.0,1.0,0.5505
910,233,23.3,10.0,1.0,0.5455
920,227,22.7,10.0,1.0,0.5405
930,235,23.5,10.0,1.0,0.5355
940,227,22.7,10.0,1.0,0.5305
950,234,23.4,10.0,1.0,0.5255
960,243,24.3,10.0,1.0,0.5205
970,234,23.4,10.0,1.0,0.5155
980,220,22.0,10.0,1.0,0.5105
990,226,22.6,10.0,1.0,0.5055
1000,229,22.9,10.0,1.0,0.5005
1010,227,22.7,10.0,1.0,0.4955
