episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,916,91.6,1.0,0.1,0.2,2387
1,904,90.4,1.0,0.1,0.1995,2472
2,911,91.1,1.0,0.1,0.199,2554
3,908,90.8,1.0,0.1,0.1985,2609
4,921,92.1,1.0,0.1,0.198,2660
5,910,91.0,1.0,0.1,0.1975,2722
6,925,92.5,1.0,0.1,0.197,2747
7,920,92.0,1.0,0.1,0.1965,2821
8,933,93.3,1.0,0.1,0.196,2852
9,944,94.4,1.0,0.1,0.1955,2869
10,916,91.6,1.0,0.1,0.195,2894
11,875,87.5,2.0,0.2,0.1945,2927
12,915,91.5,1.0,0.1,0.194,3013
13,905,90.5,1.0,0.1,0.1935,3048
14,922,92.2,1.0,0.1,0.193,3069
15,873,87.3,2.0,0.2,0.1925,3129
16,927,92.7,1.0,0.1,0.192,3155
17,825,82.5,3.0,0.3,0.1915,3165
18,888,88.8,2.0,0.2,0.191,3200
19,857,85.7,2.0,0.2,0.1905,3257
20,915,91.5,1.0,0.1,0.19,3262
21,913,91.3,1.0,0.1,0.1895,3274
22,841,84.1,4.0,0.4,0.189,3309
23,890,89.0,2.0,0.2,0.1885,3334
24,890,89.0,2.0,0.2,0.188,3374
25,909,90.9,1.0,0.1,0.1875,3436
26,850,85.0,3.0,0.3,0.187,3512
27,903,90.3,1.0,0.1,0.1865,3531
28,838,83.8,2.0,0.2,0.186,3570
29,766,76.6,4.0,0.4,0.1855,3599
30,881,88.1,2.0,0.2,0.185,3658
31,876,87.6,2.0,0.2,0.1845,3699
32,848,84.8,2.0,0.2,0.184,3726
33,736,73.6,5.0,0.5,0.1835,3764
34,825,82.5,2.0,0.2,0.183,3832
35,760,76.0,3.0,0.3,0.1825,3891
36,871,87.1,4.0,0.4,0.182,3910
37,843,84.3,3.0,0.3,0.1815,3924
38,780,78.0,4.0,0.4,0.181,3972
39,830,83.0,2.0,0.2,0.1805,4015
40,755,75.5,5.0,0.5,0.1805,6413
41,828,82.8,3.0,0.3,0.18,6474
42,843,84.3,3.0,0.3,0.1795,6498
43,831,83.1,3.0,0.3,0.179,6530
44,731,73.1,5.0,0.5,0.1785,6569
45,826,82.6,6.0,0.6,0.178,6604
46,808,80.8,3.0,0.3,0.1775,6683
47,748,74.8,5.0,0.5,0.177,6691
48,787,78.7,4.0,0.4,0.1765,6721
49,844,84.4,3.0,0.3,0.176,6767
50,899,89.9,2.0,0.2,0.1755,6807
51,805,80.5,3.0,0.3,0.175,6835
52,813,81.3,4.0,0.4,0.1745,6874
53,821,82.1,3.0,0.3,0.174,6901
54,696,69.6,4.0,0.4,0.1735,6948
55,857,85.7,3.0,0.3,0.173,6974
56,773,77.3,6.0,0.6,0.1725,7017
57,687,68.7,5.0,0.5,0.172,7046
58,764,76.4,5.0,0.5,0.1715,7070
59,689,68.9,5.0,0.5,0.171,7129
60,760,76.0,4.0,0.4,0.1705,7153
61,738,73.8,4.0,0.4,0.17,7196
62,732,73.2,5.0,0.5,0.1695,7235
63,705,70.5,4.0,0.4,0.169,7280
64,579,57.9,6.0,0.6,0.1685,7317
65,618,61.8,6.0,0.6,0.168,7388
66,765,76.5,3.0,0.3,0.1675,7422
67,572,57.2,7.0,0.7,0.167,7450
68,711,71.1,4.0,0.4,0.1665,7489
69,664,66.4,6.0,0.6,0.166,7546
70,597,59.7,7.0,0.7,0.1655,7585
71,687,68.7,5.0,0.5,0.165,7640
72,624,62.4,6.0,0.6,0.1645,7697
73,665,66.5,5.0,0.5,0.164,7741
74,676,67.6,5.0,0.5,0.1635,7789
75,677,67.7,6.0,0.6,0.163,7831
76,599,59.9,6.0,0.6,0.1625,7858
77,618,61.8,6.0,0.6,0.162,7888
78,680,68.0,5.0,0.5,0.1615,7913
79,574,57.4,7.0,0.7,0.161,7976
80,561,56.1,7.0,0.7,0.161,11213
81,641,64.1,7.0,0.7,0.1605,11255
82,647,64.7,5.0,0.5,0.16,11258
83,519,51.9,7.0,0.7,0.1595,11287
84,613,61.3,6.0,0.6,0.159,11334
85,505,50.5,8.0,0.8,0.1585,11387
86,601,60.1,8.0,0.8,0.158,11425
87,638,63.8,6.0,0.6,0.1575,11462
88,547,54.7,8.0,0.8,0.157,11479
89,547,54.7,6.0,0.6,0.1565,11508
90,563,56.3,6.0,0.6,0.156,11531
91,567,56.7,8.0,0.8,0.1555,11571
92,579,57.9,7.0,0.7,0.155,11626
93,549,54.9,7.0,0.7,0.1545,11638
94,565,56.5,8.0,0.8,0.154,11656
95,614,61.4,6.0,0.6,0.1535,11681
96,646,64.6,6.0,0.6,0.153,11714
97,503,50.3,8.0,0.8,0.1525,11744
98,544,54.4,8.0,0.8,0.152,11768
99,452,45.2,8.0,0.8,0.1515,11801
100,515,51.5,7.0,0.7,0.151,11831
101,481,48.1,8.0,0.8,0.1505,11849
102,581,58.1,7.0,0.7,0.15,11885
103,570,57.0,6.0,0.6,0.1495,11919
104,515,51.5,7.0,0.7,0.149,11991
105,555,55.5,7.0,0.7,0.1485,12035
106,464,46.4,9.0,0.9,0.148,12057
107,497,49.7,8.0,0.8,0.1475,12076
108,516,51.6,9.0,0.9,0.147,12077
109,531,53.1,8.0,0.8,0.1465,12099
110,490,49.0,8.0,0.8,0.146,12124
111,536,53.6,8.0,0.8,0.1455,12147
112,400,40.0,9.0,0.9,0.145,12216
113,473,47.3,7.0,0.7,0.1445,12236
114,433,43.3,9.0,0.9,0.144,12284
115,509,50.9,8.0,0.8,0.1435,12323
116,598,59.8,7.0,0.7,0.143,12335
117,453,45.3,8.0,0.8,0.1425,12427
118,473,47.3,8.0,0.8,0.142,12460
119,421,42.1,9.0,0.9,0.1415,12494
120,452,45.2,9.0,0.9,0.1415,13516
121,543,54.3,8.0,0.8,0.141,13534
122,429,42.9,8.0,0.8,0.1405,13558
123,491,49.1,7.0,0.7,0.14,13587
124,553,55.3,7.0,0.7,0.1395,13623
125,461,46.1,9.0,0.9,0.139,13646
126,535,53.5,8.0,0.8,0.1385,13654
127,564,56.4,7.0,0.7,0.138,13699
128,475,47.5,8.0,0.8,0.1375,13724
129,553,55.3,8.0,0.8,0.137,13753
130,450,45.0,9.0,0.9,0.1365,13757
131,475,47.5,9.0,0.9,0.136,13799
132,472,47.2,8.0,0.8,0.1355,13839
133,426,42.6,9.0,0.9,0.135,13863
134,434,43.4,8.0,0.8,0.1345,13884
135,540,54.0,7.0,0.7,0.134,13924
136,440,44.0,8.0,0.8,0.1335,13957
137,458,45.8,8.0,0.8,0.133,13994
138,458,45.8,9.0,0.9,0.1325,14033
139,384,38.4,9.0,0.9,0.132,14064
140,539,53.9,8.0,0.8,0.1315,14096
141,399,39.9,9.0,0.9,0.131,14134
142,536,53.6,8.0,0.8,0.1305,14164
143,395,39.5,10.0,1.0,0.13,14173
144,505,50.5,8.0,0.8,0.1295,14193
145,396,39.6,9.0,0.9,0.129,14235
146,470,47.0,10.0,1.0,0.1285,14261
147,479,47.9,8.0,0.8,0.128,14295
148,443,44.3,9.0,0.9,0.1275,14358
149,415,41.5,10.0,1.0,0.127,14397
150,399,39.9,9.0,0.9,0.1265,14412
151,449,44.9,9.0,0.9,0.126,14431
152,428,42.8,8.0,0.8,0.1255,14438
153,439,43.9,8.0,0.8,0.125,14461
154,461,46.1,9.0,0.9,0.1245,14490
155,483,48.3,7.0,0.7,0.124,14529
156,320,32.0,10.0,1.0,0.1235,14547
157,313,31.3,10.0,1.0,0.123,14583
158,404,40.4,10.0,1.0,0.1225,14584
159,355,35.5,10.0,1.0,0.122,14620
160,374,37.4,10.0,1.0,0.122,15592
161,505,50.5,9.0,0.9,0.1215,15614
162,350,35.0,10.0,1.0,0.121,15688
163,391,39.1,10.0,1.0,0.1205,15749
164,399,39.9,10.0,1.0,0.12,15785
165,395,39.5,10.0,1.0,0.1195,15809
166,387,38.7,10.0,1.0,0.119,15818
167,415,41.5,10.0,1.0,0.1185,15856
168,460,46.0,9.0,0.9,0.118,15878
169,362,36.2,10.0,1.0,0.1175,15978
170,323,32.3,10.0,1.0,0.117,15998
171,380,38.0,10.0,1.0,0.1165,16050
172,413,41.3,9.0,0.9,0.116,16079
173,337,33.7,10.0,1.0,0.1155,16116
174,378,37.8,10.0,1.0,0.115,16139
175,309,30.9,10.0,1.0,0.1145,16162
176,305,30.5,10.0,1.0,0.114,16182
177,387,38.7,10.0,1.0,0.1135,16199
178,377,37.7,10.0,1.0,0.113,16224
179,386,38.6,9.0,0.9,0.1125,16246
