episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,901,90.1,1.0,0.1,1.0,0
1,908,90.8,1.0,0.1,0.9995,100
2,924,92.4,1.0,0.1,0.999,200
3,902,90.2,1.0,0.1,0.9985,300
4,902,90.2,1.0,0.1,0.998,400
5,902,90.2,1.0,0.1,0.9975,500
6,901,90.1,1.0,0.1,0.997,600
7,901,90.1,1.0,0.1,0.9965,700
8,901,90.1,1.0,0.1,0.996,800
9,902,90.2,1.0,0.1,0.9955,900
10,913,91.3,1.0,0.1,0.995,1000
11,901,90.1,1.0,0.1,0.9945,1100
12,901,90.1,1.0,0.1,0.994,1200
13,918,91.8,1.0,0.1,0.9935,1300
14,903,90.3,1.0,0.1,0.993,1400
15,911,91.1,1.0,0.1,0.9925,1500
16,901,90.1,1.0,0.1,0.992,1600
17,913,91.3,1.0,0.1,0.9915,1700
18,968,96.8,1.0,0.1,0.991,1800
19,914,91.4,1.0,0.1,0.9905,1900
20,994,99.4,1.0,0.1,0.99,2000
21,910,91.0,1.0,0.1,0.9895,2100
22,1000,100.0,0,0.0,0.989,2200
23,905,90.5,1.0,0.1,0.9885,2300
24,903,90.3,1.0,0.1,0.988,2400
25,901,90.1,1.0,0.1,0.9875,2500
26,930,93.0,1.0,0.1,0.987,2600
27,902,90.2,1.0,0.1,0.9865,2700
28,902,90.2,1.0,0.1,0.986,2800
29,903,90.3,1.0,0.1,0.9855,2900
30,904,90.4,1.0,0.1,0.985,3000
31,906,90.6,1.0,0.1,0.9845,3100
32,924,92.4,1.0,0.1,0.984,3200
33,1000,100.0,0,0.0,0.9835,3300
34,903,90.3,1.0,0.1,0.983,3400
35,906,90.6,1.0,0.1,0.9825,3500
36,908,90.8,1.0,0.1,0.982,3600
37,901,90.1,1.0,0.1,0.9815,3700
38,902,90.2,1.0,0.1,0.981,3800
39,921,92.1,1.0,0.1,0.9805,3900
40,911,91.1,1.0,0.1,0.98,4000
41,901,90.1,1.0,0.1,0.9795,4100
42,836,83.6,2.0,0.2,0.979,4200
43,1000,100.0,0,0.0,0.9785,4300
44,1000,100.0,0,0.0,0.978,4346
45,905,90.5,1.0,0.1,0.9775,4446
46,914,91.4,1.0,0.1,0.977,4546
47,907,90.7,1.0,0.1,0.9765,4646
48,902,90.2,1.0,0.1,0.976,4746
49,903,90.3,1.0,0.1,0.9755,4846
50,901,90.1,1.0,0.1,0.975,4946
51,901,90.1,1.0,0.1,0.9745,5046
52,866,86.6,2.0,0.2,0.974,5146
53,901,90.1,1.0,0.1,0.9735,5246
54,901,90.1,1.0,0.1,0.973,5280
