episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
1480,244,24.4,10.0,1.0,0.2605
1490,242,24.2,10.0,1.0,0.2555
1500,245,24.5,10.0,1.0,0.2505
1510,260,26.0,10.0,1.0,0.2455
1520,246,24.6,10.0,1.0,0.2405
1530,257,25.7,10.0,1.0,0.2355
1540,242,24.2,10.0,1.0,0.2305
1550,247,24.7,10.0,1.0,0.2255
1560,242,24.2,10.0,1.0,0.2205
1570,256,25.6,10.0,1.0,0.2155
1580,249,24.9,10.0,1.0,0.2105
1590,254,25.4,10.0,1.0,0.2055
1600,241,24.1,10.0,1.0,0.2005
1610,247,24.7,10.0,1.0,0.1955
1620,258,25.8,10.0,1.0,0.1905
1630,249,24.9,10.0,1.0,0.1855
1640,247,24.7,10.0,1.0,0.1805
1650,253,25.3,10.0,1.0,0.1755
1660,250,25.0,10.0,1.0,0.1705
1670,253,25.3,10.0,1.0,0.1655
1680,254,25.4,10.0,1.0,0.1605
1690,244,24.4,10.0,1.0,0.1555
1700,246,24.6,10.0,1.0,0.1505
1710,252,25.2,10.0,1.0,0.1455
1720,252,25.2,10.0,1.0,0.1405
1730,243,24.3,10.0,1.0,0.1355
1740,251,25.1,10.0,1.0,0.1305
1750,243,24.3,10.0,1.0,0.1255
1760,260,26.0,10.0,1.0,0.1205
1770,242,24.2,10.0,1.0,0.1155
1780,254,25.4,10.0,1.0,0.1105
1790,254,25.4,10.0,1.0,0.1055
1800,257,25.7,10.0,1.0,0.1005
1810,254,25.4,10.0,1.0,0.0955
1820,250,25.0,10.0,1.0,0.0905
1830,249,24.9,10.0,1.0,0.0855
1840,259,25.9,10.0,1.0,0.0805
1850,251,25.1,10.0,1.0,0.0755
1860,243,24.3,10.0,1.0,0.0705
1870,241,24.1,10.0,1.0,0.0655
1880,247,24.7,10.0,1.0,0.0605
1890,238,23.8,10.0,1.0,0.0555
1900,250,25.0,10.0,1.0,0.0505
1910,242,24.2,10.0,1.0,0.0455
1920,249,24.9,10.0,1.0,0.0405
1930,247,24.7,10.0,1.0,0.0355
1940,253,25.3,10.0,1.0,0.0305
1950,247,24.7,10.0,1.0,0.0255
1960,255,25.5,10.0,1.0,0.0205
1970,242,24.2,10.0,1.0,0.0155
1980,238,23.8,10.0,1.0,0.0105
1990,251,25.1,10.0,1.0,0.0055
2000,252,25.2,10.0,1.0,0.0005
