episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,987,98.7,1.0,0.1,1.0,0
1,908,90.8,1.0,0.1,0.9995,100
2,973,97.3,1.0,0.1,0.999,200
3,949,94.9,1.0,0.1,0.9985,300
4,923,92.3,1.0,0.1,0.998,400
5,1000,100.0,0,0.0,0.9975,500
6,908,90.8,2.0,0.2,0.997,600
7,1000,100.0,0,0.0,0.9965,700
8,976,97.6,1.0,0.1,0.996,800
9,911,91.1,1.0,0.1,0.9955,900
10,1000,100.0,0,0.0,0.995,1000
11,921,92.1,1.0,0.1,0.9945,1100
12,928,92.8,1.0,0.1,0.994,1200
13,1000,100.0,0,0.0,0.9935,1300
14,1000,100.0,0,0.0,0.993,1400
15,953,95.3,1.0,0.1,0.9925,1500
16,1000,100.0,0,0.0,0.992,1600
17,1000,100.0,0,0.0,0.9915,1700
18,906,90.6,1.0,0.1,0.991,1800
19,984,98.4,1.0,0.1,0.9905,1900
20,984,98.4,1.0,0.1,0.99,1989
21,911,91.1,1.0,0.1,0.9895,2089
22,927,92.7,1.0,0.1,0.989,2189
23,916,91.6,1.0,0.1,0.9885,2289
24,953,95.3,1.0,0.1,0.988,2389
25,912,91.2,1.0,0.1,0.9875,2489
26,915,91.5,1.0,0.1,0.987,2589
27,932,93.2,1.0,0.1,0.9865,2689
28,915,91.5,1.0,0.1,0.986,2789
29,978,97.8,1.0,0.1,0.9855,2889
30,930,93.0,1.0,0.1,0.985,2989
31,955,95.5,1.0,0.1,0.9845,3089
32,972,97.2,1.0,0.1,0.984,3189
33,1000,100.0,0,0.0,0.9835,3289
34,976,97.6,1.0,0.1,0.983,3389
35,944,94.4,1.0,0.1,0.9825,3489
36,914,91.4,1.0,0.1,0.982,3559
37,907,90.7,1.0,0.1,0.9815,3659
38,906,90.6,1.0,0.1,0.981,3759
39,906,90.6,1.0,0.1,0.9805,3859
40,918,91.8,1.0,0.1,0.98,3959
41,909,90.9,1.0,0.1,0.9795,4059
42,909,90.9,1.0,0.1,0.979,4159
43,866,86.6,2.0,0.2,0.9785,4199
44,909,90.9,1.0,0.1,0.978,4299
45,924,92.4,1.0,0.1,0.9775,4399
46,908,90.8,1.0,0.1,0.977,4499
47,891,89.1,2.0,0.2,0.9765,4534
