"episode","mean","lower","upper"
1,0.0,0.0,0.0
2,0.019,-0.0191819294553,0.0571819294553
3,0.019,-0.0191819294553,0.0571819294553
4,0.0095,-0.00959096472765,0.0285909647276
5,0.02755,-0.0130938029625,0.0681938029625
6,0.02755,-0.0130938029625,0.0681938029625
7,0.018525,-0.00753765956499,0.044587659565
8,0.0153583333333,-0.00658460347652,0.0373012701432
9,0.0153583333333,-0.00658460347652,0.0373012701432
10,0.013775,-0.00654690148127,0.0340969014813
11,0.0107666666667,-0.00448444467088,0.0260177780042
12,0.0193404166667,-0.00333643436478,0.0420172676981
13,0.0193404166667,-0.00333643436478,0.0420172676981
14,0.0193404166667,-0.00333643436478,0.0420172676981
15,0.0193404166667,-0.00333643436478,0.0420172676981
16,0.01783625,-0.00346127255787,0.0391337725579
17,0.01688625,-0.00367662451986,0.0374491245199
18,0.01688625,-0.00367662451986,0.0374491245199
19,0.0140283333333,-0.00215270460881,0.0302093712755
20,0.0140283333333,-0.00215270460881,0.0302093712755
21,0.0140283333333,-0.00215270460881,0.0302093712755
22,0.0140283333333,-0.00215270460881,0.0302093712755
23,0.0140283333333,-0.00215270460881,0.0302093712755
24,0.0119660416667,-0.00178756298906,0.0257196463224
25,0.0119660416667,-0.00178756298906,0.0257196463224
26,0.0145453114583,2.15290415202e-05,0.0290690938751
27,0.0136879364583,6.17593310409e-05,0.0273141135856
28,0.0132011334919,8.7330355077e-05,0.0263149366288
29,0.0132011334919,8.7330355077e-05,0.0263149366288
30,0.0132011334919,8.7330355077e-05,0.0263149366288
31,0.012390131411,0.000410606249002,0.0243696565729
32,0.012390131411,0.000410606249002,0.0243696565729
33,0.012390131411,0.000410606249002,0.0243696565729
34,0.012390131411,0.000410606249002,0.0243696565729
35,0.0148397742681,0.00208283435228,0.0275967141839
36,0.0148397742681,0.00208283435228,0.0275967141839
37,0.0166338314556,0.00357750927573,0.0296901536355
38,0.0162653643425,0.00345156483474,0.0290791638503
39,0.0148030429139,0.00332977220883,0.026276313619
40,0.0134514396029,0.00309492315261,0.0238079560532
41,0.013187550714,0.00304070689108,0.023334394537
42,0.013187550714,0.00304070689108,0.023334394537
43,0.0129764396029,0.00298023002774,0.0229726491781
44,0.0129764396029,0.00298023002774,0.0229726491781
45,0.0126541181744,0.0029493081184,0.0223589282303
46,0.0123915853563,0.00288027926286,0.0219028914497
47,0.011952438239,0.00274514171965,0.0211597347584
48,0.0118084988451,0.00269298961606,0.0209240080741
49,0.0116179710673,0.00263920850373,0.0205967336309
50,0.0114620847037,0.0025844835368,0.0203396858705
51,0.0113261597707,0.00252087013729,0.0201314494041
52,0.0108190060202,0.00244821438704,0.0191897976534
53,0.0108068062977,0.00243511889969,0.0191784936957
54,0.0108068062977,0.00243511889969,0.0191784936957
55,0.0107980922102,0.00242572108605,0.0191704633343
56,0.0107980922102,0.00242572108605,0.0191704633343
57,0.0105854219816,0.00236667033016,0.0188041736331
58,0.0103848664261,0.00233842253805,0.0184313103141
59,0.0102549611231,0.00229463388554,0.0182152883606
60,0.0102549611231,0.00229463388554,0.0182152883606
61,0.0102493090986,0.00228847290241,0.0182101452948
62,0.0102427735329,0.00228140992469,0.0182041371412
63,0.00983326944553,0.00221871692623,0.0174478219648
64,0.00983326944553,0.00221871692623,0.0174478219648
65,0.00972334957374,0.00217922287468,0.0172674762728
66,0.00972334957374,0.00217922287468,0.0172674762728
67,0.0110804924309,0.00319526675032,0.0189657181114
68,0.0110804924309,0.00319526675032,0.0189657181114
69,0.010921578197,0.00315231287229,0.0186908435217
70,0.0107582244435,0.00310550662736,0.0184109422597
71,0.0106640074106,0.00306514044231,0.0182628743788
72,0.0105229161116,0.00301018532442,0.0180356468988
73,0.0103368657453,0.00293743275489,0.0177362987357
74,0.0102463895548,0.00290289968048,0.0175898794292
75,0.00990628075213,0.00284615479699,0.0169664067073
76,0.00990628075213,0.00284615479699,0.0169664067073
77,0.00979490319294,0.00280559013728,0.0167842162486
78,0.00943830665885,0.00272041384151,0.0161561994762
79,0.0094349794618,0.00271677276242,0.0161531861612
80,0.00911638670611,0.00263046914597,0.0156023042663
81,0.00895910187662,0.00256801514866,0.0153501886046
82,0.00888924893545,0.00254218624931,0.0152363116216
83,0.00888736492729,0.00254010669582,0.0152346231588
84,0.0086961445913,0.00248546802829,0.0149068211543
85,0.00861697792464,0.00246191169351,0.0147720441558
86,0.00854712498346,0.00243810572803,0.0146561442389
87,0.00838116752997,0.00239334507113,0.0143689899888
88,0.00831779147568,0.00236925952951,0.0142663234219
89,0.00831779147568,0.00236925952951,0.0142663234219
90,0.00831779147568,0.00236925952951,0.0142663234219
91,0.00831779147568,0.00236925952951,0.0142663234219
92,0.00820014441686,0.00232489522412,0.0140753936096
93,0.00811936508822,0.0022968927842,0.0139418373922
94,0.00806936508822,0.0022757379398,0.0138629922366
95,0.00797514805525,0.00225649028128,0.0136938058292
96,0.00797514805525,0.00225649028128,0.0136938058292
97,0.00797514805525,0.00225649028128,0.0136938058292
98,0.00903073606098,0.00223271280705,0.0158287593149
99,0.0102030725002,0.00312120247844,0.0172849425219
100,0.0101578344049,0.00309504207786,0.017220626732
101,0.00993575531881,0.0030848419945,0.0167866686431
102,0.00994989739045,0.00310063018776,0.0167991645931
103,0.00994989739045,0.00310063018776,0.0167991645931
104,0.010642541194,0.00383102144706,0.017454060941
105,0.0104553881491,0.00377026212833,0.0171405141699
106,0.01030557218,0.00370239254963,0.0169087518103
107,0.0101224625731,0.00367976512641,0.0165651600198
108,0.0100724625731,0.00365453526306,0.0164903898831
109,0.00992460485707,0.00358320803616,0.016266001678
110,0.00992460485707,0.00358320803616,0.016266001678
111,0.00988377747612,0.003559353249,0.0162082017032
112,0.0104603855538,0.00372376600814,0.0171970050994
113,0.0103618421684,0.0037232770154,0.0170004073213
114,0.0110674858421,0.00443055172162,0.0177044199625
115,0.0123436582759,0.00557921920195,0.0191080973499
116,0.0122694927213,0.00553058878138,0.0190083966612
117,0.0129631834241,0.00572050763375,0.0202058592145
118,0.0127960815671,0.00566208004033,0.0199300830939
119,0.0127069271439,0.005605062628,0.0198087916599
120,0.012705825802,0.00560380698231,0.0198078446217
121,0.012705825802,0.00560380698231,0.0198078446217
122,0.0125888091095,0.00554517028856,0.0196324479304
123,0.0124447820748,0.00545749810979,0.0194320660399
124,0.0122715565962,0.00543789710779,0.0191052160845
125,0.0121330061771,0.00535258432859,0.0189134280256
126,0.0121002693593,0.0053299778043,0.0188705609143
127,0.0117303779962,0.00519487178308,0.0182658842093
128,0.0116683608062,0.00517911317702,0.0181576084354
129,0.0115038306572,0.00511167520928,0.0178959861051
130,0.0114699423173,0.00508943630121,0.0178504483334
131,0.0113817246199,0.00504172497227,0.0177217242676
132,0.0112345436152,0.00495120671263,0.0175178805178
133,0.0111764137766,0.00491216578858,0.0174406617646
134,0.0111470424201,0.00489166011085,0.0174024247294
135,0.0110758532403,0.00484771579184,0.0173039906888
136,0.0109931412006,0.00479134945227,0.0171949329489
137,0.0109931412006,0.00479134945227,0.0171949329489
138,0.010903083131,0.00475696915923,0.0170491971027
139,0.0108533033469,0.004722307349,0.0169842993449
140,0.0107704501927,0.00471981851967,0.0168210818657
141,0.0106809716696,0.00465537624673,0.0167065670925
142,0.0105741627525,0.00460601880457,0.0165423067004
143,0.0105284873259,0.00457987767081,0.016477096981
144,0.0104791898069,0.00454597133323,0.0164124082805
145,0.0115888968377,0.00538804326621,0.0177897504093
146,0.0114778185247,0.00535769054071,0.0175979465087
147,0.0114098884172,0.00531755060751,0.0175022262268
148,0.0112720639256,0.00527703514945,0.0172670927017
149,0.0112456831563,0.00525877514863,0.017232591164
150,0.0111432346094,0.00522472428289,0.0170617449359
151,0.0110249421731,0.0051644294056,0.0168854549406
152,0.010918618879,0.00511420243297,0.0167230353251
153,0.0108668860826,0.00508282694461,0.0166509452207
154,0.0106835720902,0.00501678044352,0.0163503637369
155,0.0106583466766,0.00499914941475,0.0163175439384
156,0.0105958890311,0.00496128311503,0.0162304949472
157,0.0105387306978,0.00495405008061,0.016123411315
158,0.010463287281,0.00492997008911,0.0159966044729
159,0.010401491786,0.00488912377416,0.0159138597977
160,0.0103384495065,0.00486547007677,0.0158114289363
161,0.0102665682158,0.00484091612403,0.0156922203077
162,0.010106199195,0.00476779660644,0.0154446017835
163,0.0100292848608,0.0047249188817,0.01533365084
164,0.0100009474388,0.00470309196638,0.0152988029112
165,0.00998250926673,0.00468985563509,0.0152751628984
166,0.0105676167977,0.00523857887162,0.0158966547237
167,0.0104836877679,0.00518157579915,0.0157857997367
168,0.0114166168867,0.00593266013035,0.016900573643
169,0.0113996828403,0.00592004309584,0.0168793225848
170,0.0113793496852,0.00590485221952,0.0168538471508
171,0.0113347705346,0.00589389152245,0.0167756495468
172,0.0113046872013,0.00587545549038,0.0167339189122
173,0.0112405005966,0.00584841423232,0.0166325869609
174,0.0111791704534,0.00582669174625,0.0165316491606
175,0.0110503055054,0.00578397390947,0.0163166371013
176,0.0109590796245,0.00573851669752,0.0161796425515
177,0.0108965332357,0.00571165440139,0.01608141207
178,0.0108190083049,0.00565789971551,0.0159801168943
179,0.0108190083049,0.00565789971551,0.0159801168943
180,0.0107623438271,0.00562506117497,0.0158996264792
181,0.010699829977,0.00559809632786,0.0158015636261
182,0.010699829977,0.00559809632786,0.0158015636261
183,0.0106614265798,0.00557094759516,0.0157519055645
184,0.0105660272027,0.00552623263424,0.0156058217712
185,0.011100734192,0.00579585184553,0.0164056165384
186,0.011047050795,0.00577015085101,0.0163239507391
187,0.011047050795,0.00577015085101,0.0163239507391
188,0.0110124792225,0.00575907642748,0.0162658820174
189,0.0109725383266,0.00574829148006,0.0161967851731
190,0.01097225102,0.0057479559067,0.0161965461333
191,0.0108994410911,0.00570949803311,0.0160893841491
192,0.0108605325239,0.00568126066067,0.0160398043871
193,0.0108067038953,0.0056596017473,0.0159538060433
194,0.0112622008909,0.00612689241813,0.0163975093637
195,0.0112622008909,0.00612689241813,0.0163975093637
196,0.0111837685251,0.00609221423059,0.0162753228195
197,0.0120254713272,0.00681396852899,0.0172369741254
198,0.0119811697743,0.00679107311546,0.0171712664332
199,0.0118775975404,0.00674203256497,0.0170131625158
200,0.0118048007752,0.00670414076323,0.0169054607871
201,0.0117129706438,0.00665644623975,0.0167694950478
202,0.011693912,0.00664219080198,0.016745633198
203,0.011693427884,0.00664161958646,0.0167452361816
204,0.0116636762076,0.00661878044975,0.0167085719655
205,0.0115640414212,0.00657084530035,0.0165572375421
206,0.012117836687,0.00710580152799,0.0171298718461
207,0.0121173859584,0.00710526574923,0.0171295061675
208,0.0120652082091,0.00706608786232,0.017064328556
209,0.0120499252323,0.00705421790909,0.0170456325555
210,0.0127092645387,0.00766901916116,0.0177495099163
211,0.0127086639093,0.00766829850626,0.0177490293124
212,0.012687747763,0.00765342535346,0.0177220701726
213,0.0133000799601,0.0079114812089,0.0186886787113
214,0.0132736503203,0.00788954975915,0.0186577508815
215,0.0132321242229,0.00786454932568,0.0185996991201
216,0.0131437054083,0.00781390147396,0.0184735093426
217,0.0131437054083,0.00781390147396,0.0184735093426
218,0.0135210261158,0.00789136671393,0.0191506855176
219,0.0134945434903,0.00786888908661,0.0191201978939
220,0.0135058010817,0.0078747679509,0.0191368342126
221,0.013458543582,0.00784677548642,0.0190703116775
222,0.013458543582,0.00784677548642,0.0190703116775
223,0.0134353209639,0.00782708602782,0.0190435559
224,0.0133617183512,0.00777654008541,0.0189468966171
225,0.013350379781,0.00776649111755,0.0189342684445
226,0.013350379781,0.00776649111755,0.0189342684445
227,0.0133231615271,0.00775334140145,0.0188929816527
228,0.0132974145301,0.00774043972682,0.0188543893333
229,0.0132974145301,0.00774043972682,0.0188543893333
230,0.0132164825596,0.00768678818554,0.0187461769337
231,0.0132164825596,0.00768678818554,0.0187461769337
232,0.0138288932739,0.00828290667964,0.0193748798682
233,0.0138288932739,0.00828290667964,0.0193748798682
234,0.0137720431315,0.00824643485442,0.0192976514085
235,0.0137402045465,0.008220174636,0.0192602344569
236,0.013699779307,0.00819268638541,0.0192068722286
237,0.0136368514552,0.00817464345154,0.0190990594588
238,0.0135791398237,0.00813449369193,0.0190237859554
239,0.0135460261777,0.00811409942688,0.0189779529286
240,0.0134753142667,0.00808122818714,0.0188694003464
241,0.0134449227563,0.00805681812581,0.0188330273868
242,0.0134015760814,0.00804562199176,0.0187575301711
243,0.0133893965942,0.00803544053515,0.0187433526533
244,0.0133341543234,0.00799532948328,0.0186729791635
245,0.0140307970066,0.00843007674927,0.0196315172639
246,0.0140261820386,0.00842508107592,0.0196272830013
247,0.0140258744826,0.00842471244682,0.0196270365184
248,0.0140168113219,0.0084164082733,0.0196172143705
249,0.0139718200031,0.00839845511943,0.0195451848868
250,0.0139490792219,0.00838574973204,0.0195124087117
251,0.0139274754797,0.00837334811666,0.0194816028427
252,0.0138543304595,0.0083343087913,0.0193743521276
253,0.0137612771868,0.00828228882137,0.0192402655522
254,0.0137480982088,0.0082694329694,0.0192267634482
255,0.0137344890818,0.00825795643494,0.0192110217287
256,0.0136985411488,0.00822966470423,0.0191674175934
257,0.0136602206366,0.00821280853584,0.0191076327373
258,0.0136254942451,0.00819063709696,0.0190603513932
259,0.0135954855602,0.00816620764339,0.0190247634771
260,0.0135502943172,0.00815293934375,0.0189476492907
261,0.0134974754232,0.00811820298791,0.0188767478584
262,0.0134974754232,0.00811820298791,0.0188767478584
263,0.0134735054105,0.00810579833956,0.0188412124814
264,0.0134735054105,0.00810579833956,0.0188412124814
265,0.0134735054105,0.00810579833956,0.0188412124814
266,0.0134384906725,0.0080998655111,0.0187771158338
267,0.0139791015099,0.00839230687738,0.0195658961424
268,0.0139680678281,0.00838272549129,0.019553410165
269,0.0139420297476,0.0083645868019,0.0195194726933
270,0.0139192889663,0.00835188409228,0.0194866938404
271,0.0139087684791,0.00834267850431,0.0194748584538
272,0.0138748801391,0.00832096286505,0.0194287974132
273,0.0138748801391,0.00832096286505,0.0194287974132
274,0.0143869187055,0.00884696099634,0.0199268764148
275,0.0143869187055,0.00884696099634,0.0199268764148
276,0.0143869187055,0.00884696099634,0.0199268764148
277,0.0143869187055,0.00884696099634,0.0199268764148
278,0.0143869187055,0.00884696099634,0.0199268764148
279,0.0143869187055,0.00884696099634,0.0199268764148
280,0.0143869187055,0.00884696099634,0.0199268764148
281,0.0143388620947,0.0088264070511,0.0198513171383
282,0.0143172583525,0.00881396439569,0.0198205523093
283,0.0143172583525,0.00881396439569,0.0198205523093
284,0.0143019753757,0.00880126587624,0.0198026848751
285,0.0143018413779,0.0088011036561,0.0198025790998
286,0.0143018413779,0.0088011036561,0.0198025790998
287,0.0142889678794,0.00879000469863,0.0197879310602
288,0.0142889678794,0.00879000469863,0.0197879310602
289,0.0142537976746,0.00876294134224,0.0197446540069
290,0.0142537976746,0.00876294134224,0.0197446540069
291,0.0142498572019,0.00875861824826,0.0197410961556
292,0.0142212780353,0.00873895698476,0.0197035990858
293,0.0142212780353,0.00873895698476,0.0197035990858
294,0.0142090820893,0.008728347589,0.0196898165896
295,0.0142090820893,0.008728347589,0.0196898165896
296,0.0142090820893,0.008728347589,0.0196898165896
297,0.0141895107549,0.00871655466632,0.0196624668435
298,0.0141539274222,0.00869962652694,0.0196082283174
299,0.0141366416359,0.00868575817866,0.0195875250931
300,0.0141366416359,0.00868575817866,0.0195875250931
301,0.0141270456763,0.00867720974012,0.0195768816124
302,0.0141270456763,0.00867720974012,0.0195768816124
303,0.0141270456763,0.00867720974012,0.0195768816124
304,0.0141265498846,0.00867661146943,0.0195764882999
305,0.0141228016302,0.00867249283718,0.0195731104231
306,0.0140923595622,0.00864869140493,0.0195360277195
307,0.0140718096611,0.00863671389465,0.0195069054275
308,0.013980456559,0.00858396248041,0.0193769506376
309,0.0139768867928,0.00858003446567,0.01937373912
310,0.0139768867928,0.00858003446567,0.01937373912
311,0.0139573154585,0.0085684321171,0.0193461987998
312,0.0139271808233,0.0085607366064,0.0192936250402
313,0.0139271808233,0.0085607366064,0.0192936250402
314,0.0139271808233,0.0085607366064,0.0192936250402
315,0.0139110934793,0.00854786877673,0.0192743181818
316,0.0139110934793,0.00854786877673,0.0192743181818
317,0.0139110934793,0.00854786877673,0.0192743181818
318,0.0139110934793,0.00854786877673,0.0192743181818
319,0.0139110934793,0.00854786877673,0.0192743181818
320,0.0139110934793,0.00854786877673,0.0192743181818
321,0.0139006376866,0.0085385807417,0.0192626946314
322,0.013869573375,0.00851832544618,0.0192208213038
323,0.013869573375,0.00851832544618,0.0192208213038
324,0.0138308488537,0.00850495983473,0.0191567378726
325,0.0138232480115,0.00849785595556,0.0191486400674
326,0.0138232480115,0.00849785595556,0.0191486400674
327,0.0138232480115,0.00849785595556,0.0191486400674
328,0.0138232480115,0.00849785595556,0.0191486400674
329,0.0138232480115,0.00849785595556,0.0191486400674
