episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
0,909,90.9,1.0,0.1,1.0
10,924,92.4,1.0,0.1,0.9955
20,919,91.9,1.0,0.1,0.9905
30,916,91.6,1.0,0.1,0.9855
40,927,92.7,1.0,0.1,0.9805
50,916,91.6,1.0,0.1,0.9755
60,912,91.2,1.0,0.1,0.9705
70,917,91.7,1.0,0.1,0.9655
80,919,91.9,1.0,0.1,0.9605
90,807,80.7,3.0,0.3,0.9555
100,903,90.3,1.0,0.1,0.9505
110,905,90.5,1.0,0.1,0.9455
120,913,91.3,1.0,0.1,0.9405
130,884,88.4,2.0,0.2,0.9355
140,795,79.5,3.0,0.3,0.9305
150,879,87.9,2.0,0.2,0.9255
160,875,87.5,2.0,0.2,0.9205
170,804,80.4,3.0,0.3,0.9155
180,712,71.2,4.0,0.4,0.9105
190,708,70.8,4.0,0.4,0.9055
200,657,65.7,5.0,0.5,0.9005
210,650,65.0,5.0,0.5,0.8955
220,637,63.7,6.0,0.6,0.8905
230,570,57.0,6.0,0.6,0.8855
240,485,48.5,8.0,0.8,0.8805
250,597,59.7,6.0,0.6,0.8755
260,513,51.3,7.0,0.7,0.8705
270,516,51.6,7.0,0.7,0.8655
280,402,40.2,9.0,0.9,0.8605
290,420,42.0,8.0,0.8,0.8555
300,511,51.1,7.0,0.7,0.8505
310,397,39.7,9.0,0.9,0.8455
320,335,33.5,9.0,0.9,0.8405
330,378,37.8,9.0,0.9,0.8355
340,412,41.2,9.0,0.9,0.8305
350,335,33.5,9.0,0.9,0.8255
360,318,31.8,9.0,0.9,0.8205
370,324,32.4,9.0,0.9,0.8155
380,256,25.6,10.0,1.0,0.8105
390,253,25.3,10.0,1.0,0.8055
400,313,31.3,9.0,0.9,0.8005
410,274,27.4,10.0,1.0,0.7955
420,293,29.3,10.0,1.0,0.7905
430,387,38.7,8.0,0.8,0.7855
440,258,25.8,10.0,1.0,0.7805
450,275,27.5,10.0,1.0,0.7755
460,270,27.0,10.0,1.0,0.7705
470,250,25.0,10.0,1.0,0.7655
480,253,25.3,10.0,1.0,0.7605
490,254,25.4,10.0,1.0,0.7555
500,256,25.6,10.0,1.0,0.7505
510,251,25.1,10.0,1.0,0.7455
520,269,26.9,10.0,1.0,0.7405
530,250,25.0,10.0,1.0,0.7355
540,253,25.3,10.0,1.0,0.7305
550,254,25.4,10.0,1.0,0.7255
560,267,26.7,10.0,1.0,0.7205
570,248,24.8,10.0,1.0,0.7155
580,250,25.0,10.0,1.0,0.7105
590,255,25.5,10.0,1.0,0.7055
600,255,25.5,10.0,1.0,0.7005
610,259,25.9,10.0,1.0,0.6955
620,251,25.1,10.0,1.0,0.6905
630,252,25.2,10.0,1.0,0.6855
640,256,25.6,10.0,1.0,0.6805
650,258,25.8,10.0,1.0,0.6755
660,262,26.2,10.0,1.0,0.6705
670,257,25.7,10.0,1.0,0.6655
680,251,25.1,10.0,1.0,0.6605
690,257,25.7,10.0,1.0,0.6555
700,249,24.9,10.0,1.0,0.6505
710,241,24.1,10.0,1.0,0.6455
720,251,25.1,10.0,1.0,0.6405
730,257,25.7,10.0,1.0,0.6355
740,247,24.7,10.0,1.0,0.6305
750,248,24.8,10.0,1.0,0.6255
760,253,25.3,10.0,1.0,0.6205
770,254,25.4,10.0,1.0,0.6155
780,250,25.0,10.0,1.0,0.6105
790,263,26.3,10.0,1.0,0.6055
800,252,25.2,10.0,1.0,0.6005
810,245,24.5,10.0,1.0,0.5955
820,249,24.9,10.0,1.0,0.5905
830,260,26.0,10.0,1.0,0.5855
840,262,26.2,10.0,1.0,0.5805
850,249,24.9,10.0,1.0,0.5755
860,249,24.9,10.0,1.0,0.5705
870,260,26.0,10.0,1.0,0.5655
880,248,24.8,10.0,1.0,0.5605
890,248,24.8,10.0,1.0,0.5555
900,250,25.0,10.0,1.0,0.5505
910,246,24.6,10.0,1.0,0.5455
920,258,25.8,10.0,1.0,0.5405
930,255,25.5,10.0,1.0,0.5355
940,250,25.0,10.0,1.0,0.5305
950,262,26.2,10.0,1.0,0.5255
960,254,25.4,10.0,1.0,0.5205
970,259,25.9,10.0,1.0,0.5155
980,266,26.6,10.0,1.0,0.5105
990,253,25.3,10.0,1.0,0.5055
1000,255,25.5,10.0,1.0,0.5005
1010,259,25.9,10.0,1.0,0.4955
1020,246,24.6,10.0,1.0,0.4905
1030,251,25.1,10.0,1.0,0.4855
1040,251,25.1,10.0,1.0,0.4805
1050,254,25.4,10.0,1.0,0.4755
1060,260,26.0,10.0,1.0,0.4705
1070,251,25.1,10.0,1.0,0.4655
1080,247,24.7,10.0,1.0,0.4605
1090,250,25.0,10.0,1.0,0.4555
1100,248,24.8,10.0,1.0,0.4505
1110,264,26.4,10.0,1.0,0.4455
1120,248,24.8,10.0,1.0,0.4405
1130,249,24.9,10.0,1.0,0.4355
1140,247,24.7,10.0,1.0,0.4305
1150,255,25.5,10.0,1.0,0.4255
1160,248,24.8,10.0,1.0,0.4205
1170,249,24.9,10.0,1.0,0.4155
1180,250,25.0,10.0,1.0,0.4105
1190,257,25.7,10.0,1.0,0.4055
1200,260,26.0,10.0,1.0,0.4005
1210,247,24.7,10.0,1.0,0.3955
1220,252,25.2,10.0,1.0,0.3905
1230,247,24.7,10.0,1.0,0.3855
1240,254,25.4,10.0,1.0,0.3805
1250,254,25.4,10.0,1.0,0.3755
1260,254,25.4,10.0,1.0,0.3705
1270,257,25.7,10.0,1.0,0.3655
1280,259,25.9,10.0,1.0,0.3605
1290,259,25.9,10.0,1.0,0.3555
1300,254,25.4,10.0,1.0,0.3505
1310,244,24.4,10.0,1.0,0.3455
1320,253,25.3,10.0,1.0,0.3405
1330,264,26.4,10.0,1.0,0.3355
1340,252,25.2,10.0,1.0,0.3305
1350,254,25.4,10.0,1.0,0.3255
1360,252,25.2,10.0,1.0,0.3205
1370,246,24.6,10.0,1.0,0.3155
1380,254,25.4,10.0,1.0,0.3105
1390,248,24.8,10.0,1.0,0.3055
1400,255,25.5,10.0,1.0,0.3005
1410,250,25.0,10.0,1.0,0.2955
1420,256,25.6,10.0,1.0,0.2905
1430,249,24.9,10.0,1.0,0.2855
1440,255,25.5,10.0,1.0,0.2805
1450,247,24.7,10.0,1.0,0.2755
1460,247,24.7,10.0,1.0,0.2705
1470,249,24.9,10.0,1.0,0.2655
1480,248,24.8,10.0,1.0,0.2605
1490,257,25.7,10.0,1.0,0.2555
1500,253,25.3,10.0,1.0,0.2505
