episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,906,90.6,1.0,0.1,0.2,2406
1,955,95.5,1.0,0.1,0.1995,2429
2,915,91.5,1.0,0.1,0.199,2472
3,909,90.9,1.0,0.1,0.1985,2497
4,953,95.3,1.0,0.1,0.198,2546
5,871,87.1,2.0,0.2,0.1975,2611
6,903,90.3,1.0,0.1,0.197,2668
7,904,90.4,1.0,0.1,0.1965,2714
8,914,91.4,1.0,0.1,0.196,2772
9,922,92.2,1.0,0.1,0.1955,2820
10,930,93.0,1.0,0.1,0.195,2903
11,905,90.5,1.0,0.1,0.1945,2942
12,905,90.5,1.0,0.1,0.194,2964
13,908,90.8,1.0,0.1,0.1935,3038
14,927,92.7,2.0,0.2,0.193,3065
15,815,81.5,4.0,0.4,0.1925,3118
16,868,86.8,2.0,0.2,0.192,3166
17,919,91.9,1.0,0.1,0.1915,3217
18,906,90.6,1.0,0.1,0.191,3317
19,850,85.0,2.0,0.2,0.1905,3330
20,827,82.7,2.0,0.2,0.19,3371
21,838,83.8,2.0,0.2,0.1895,3459
22,907,90.7,3.0,0.3,0.189,3510
23,905,90.5,1.0,0.1,0.1885,3534
24,827,82.7,3.0,0.3,0.188,3595
25,855,85.5,2.0,0.2,0.1875,3670
26,832,83.2,3.0,0.3,0.187,3730
27,834,83.4,2.0,0.2,0.1865,3758
28,864,86.4,2.0,0.2,0.186,3804
29,879,87.9,3.0,0.3,0.1855,3857
30,898,89.8,2.0,0.2,0.185,3902
31,796,79.6,4.0,0.4,0.1845,3904
32,770,77.0,3.0,0.3,0.184,3932
33,863,86.3,3.0,0.3,0.1835,3968
34,812,81.2,4.0,0.4,0.183,3998
35,847,84.7,3.0,0.3,0.1825,4023
36,898,89.8,3.0,0.3,0.182,4096
37,782,78.2,3.0,0.3,0.1815,4151
38,795,79.5,4.0,0.4,0.181,4202
39,738,73.8,4.0,0.4,0.1805,4235
40,694,69.4,5.0,0.5,0.1805,6497
41,767,76.7,4.0,0.4,0.18,6564
42,712,71.2,4.0,0.4,0.1795,6603
43,841,84.1,4.0,0.4,0.179,6661
44,844,84.4,2.0,0.2,0.1785,6686
45,876,87.6,2.0,0.2,0.178,6720
46,814,81.4,5.0,0.5,0.1775,6763
47,734,73.4,6.0,0.6,0.177,6764
48,737,73.7,4.0,0.4,0.1765,6816
49,889,88.9,3.0,0.3,0.176,6819
50,911,91.1,2.0,0.2,0.1755,6873
51,876,87.6,3.0,0.3,0.175,6891
52,784,78.4,4.0,0.4,0.1745,6919
53,870,87.0,2.0,0.2,0.174,6951
54,668,66.8,6.0,0.6,0.1735,7005
55,690,69.0,6.0,0.6,0.173,7044
56,749,74.9,6.0,0.6,0.1725,7076
57,711,71.1,5.0,0.5,0.172,7128
58,756,75.6,4.0,0.4,0.1715,7160
59,792,79.2,4.0,0.4,0.171,7217
60,676,67.6,7.0,0.7,0.1705,7250
61,796,79.6,3.0,0.3,0.17,7279
62,721,72.1,5.0,0.5,0.1695,7337
63,734,73.4,4.0,0.4,0.169,7386
64,699,69.9,6.0,0.6,0.1685,7441
65,581,58.1,7.0,0.7,0.168,7462
66,642,64.2,7.0,0.7,0.1675,7496
67,706,70.6,5.0,0.5,0.167,7527
68,695,69.5,5.0,0.5,0.1665,7556
69,589,58.9,6.0,0.6,0.166,7601
70,731,73.1,5.0,0.5,0.1655,7654
71,699,69.9,6.0,0.6,0.165,7716
72,628,62.8,7.0,0.7,0.1645,7756
73,744,74.4,5.0,0.5,0.164,7774
74,673,67.3,6.0,0.6,0.1635,7815
75,716,71.6,5.0,0.5,0.163,7851
76,609,60.9,7.0,0.7,0.1625,7871
77,754,75.4,6.0,0.6,0.162,7874
78,617,61.7,7.0,0.7,0.1615,7901
79,608,60.8,7.0,0.7,0.161,7945
80,629,62.9,6.0,0.6,0.161,11316
81,547,54.7,7.0,0.7,0.1605,11361
82,662,66.2,7.0,0.7,0.16,11387
83,615,61.5,8.0,0.8,0.1595,11420
84,601,60.1,8.0,0.8,0.159,11429
85,638,63.8,7.0,0.7,0.1585,11449
86,615,61.5,7.0,0.7,0.158,11468
87,634,63.4,7.0,0.7,0.1575,11501
88,688,68.8,6.0,0.6,0.157,11532
89,652,65.2,7.0,0.7,0.1565,11571
90,560,56.0,8.0,0.8,0.156,11635
91,529,52.9,8.0,0.8,0.1555,11661
92,601,60.1,6.0,0.6,0.155,11690
93,776,77.6,6.0,0.6,0.1545,11741
94,705,70.5,6.0,0.6,0.154,11785
95,721,72.1,5.0,0.5,0.1535,11822
96,613,61.3,8.0,0.8,0.153,11859
97,651,65.1,6.0,0.6,0.1525,11881
98,520,52.0,8.0,0.8,0.152,11899
99,612,61.2,7.0,0.7,0.1515,11927
100,480,48.0,9.0,0.9,0.151,11937
101,542,54.2,7.0,0.7,0.1505,11980
102,502,50.2,9.0,0.9,0.15,12019
103,661,66.1,6.0,0.6,0.1495,12027
104,538,53.8,7.0,0.7,0.149,12063
105,573,57.3,7.0,0.7,0.1485,12107
106,539,53.9,9.0,0.9,0.148,12130
107,648,64.8,7.0,0.7,0.1475,12162
108,516,51.6,8.0,0.8,0.147,12200
109,486,48.6,8.0,0.8,0.1465,12239
110,508,50.8,8.0,0.8,0.146,12243
111,588,58.8,8.0,0.8,0.1455,12269
112,627,62.7,6.0,0.6,0.145,12302
113,463,46.3,8.0,0.8,0.1445,12377
114,632,63.2,6.0,0.6,0.144,12415
115,575,57.5,7.0,0.7,0.1435,12441
116,584,58.4,8.0,0.8,0.143,12476
117,518,51.8,9.0,0.9,0.1425,12497
118,584,58.4,8.0,0.8,0.142,12529
119,566,56.6,8.0,0.8,0.1415,12562
120,481,48.1,8.0,0.8,0.1415,13766
121,638,63.8,6.0,0.6,0.141,13793
122,579,57.9,8.0,0.8,0.1405,13804
123,583,58.3,7.0,0.7,0.14,13828
124,507,50.7,7.0,0.7,0.1395,13857
125,522,52.2,9.0,0.9,0.139,13883
126,564,56.4,7.0,0.7,0.1385,13896
127,522,52.2,9.0,0.9,0.138,13916
128,485,48.5,9.0,0.9,0.1375,13945
129,442,44.2,8.0,0.8,0.137,13968
130,601,60.1,7.0,0.7,0.1365,13980
131,592,59.2,6.0,0.6,0.136,14004
132,458,45.8,8.0,0.8,0.1355,14023
133,520,52.0,7.0,0.7,0.135,14031
134,455,45.5,9.0,0.9,0.1345,14061
135,596,59.6,8.0,0.8,0.134,14097
136,516,51.6,9.0,0.9,0.1335,14126
137,597,59.7,7.0,0.7,0.133,14172
138,425,42.5,9.0,0.9,0.1325,14185
139,411,41.1,9.0,0.9,0.132,14229
140,553,55.3,7.0,0.7,0.1315,14258
141,577,57.7,7.0,0.7,0.131,14287
142,553,55.3,8.0,0.8,0.1305,14318
143,573,57.3,6.0,0.6,0.13,14344
144,518,51.8,7.0,0.7,0.1295,14371
145,483,48.3,10.0,1.0,0.129,14379
146,342,34.2,10.0,1.0,0.1285,14391
147,470,47.0,8.0,0.8,0.128,14403
148,407,40.7,9.0,0.9,0.1275,14439
149,510,51.0,7.0,0.7,0.127,14483
150,519,51.9,9.0,0.9,0.1265,14504
151,527,52.7,8.0,0.8,0.126,14556
152,548,54.8,7.0,0.7,0.1255,14605
153,414,41.4,10.0,1.0,0.125,14642
154,554,55.4,8.0,0.8,0.1245,14678
155,496,49.6,8.0,0.8,0.124,14714
156,539,53.9,7.0,0.7,0.1235,14717
157,428,42.8,8.0,0.8,0.123,14757
158,462,46.2,9.0,0.9,0.1225,14784
159,448,44.8,8.0,0.8,0.122,14811
160,349,34.9,10.0,1.0,0.122,15762
161,539,53.9,9.0,0.9,0.1215,15784
162,500,50.0,8.0,0.8,0.121,15884
163,560,56.0,7.0,0.7,0.1205,15901
164,445,44.5,8.0,0.8,0.12,15921
165,490,49.0,8.0,0.8,0.1195,15958
166,425,42.5,9.0,0.9,0.119,15959
167,439,43.9,9.0,0.9,0.1185,16059
168,471,47.1,10.0,1.0,0.118,16096
169,458,45.8,8.0,0.8,0.1175,16138
170,566,56.6,6.0,0.6,0.117,16180
171,532,53.2,7.0,0.7,0.1165,16205
172,387,38.7,10.0,1.0,0.116,16289
173,390,39.0,9.0,0.9,0.1155,16326
174,488,48.8,8.0,0.8,0.115,16354
175,475,47.5,8.0,0.8,0.1145,16371
176,524,52.4,7.0,0.7,0.114,16417
177,375,37.5,10.0,1.0,0.1135,16481
178,431,43.1,9.0,0.9,0.113,16515
179,401,40.1,9.0,0.9,0.1125,16552
180,425,42.5,9.0,0.9,0.112,16589
181,567,56.7,6.0,0.6,0.1115,16613
182,463,46.3,8.0,0.8,0.111,16622
183,435,43.5,8.0,0.8,0.1105,16647
184,428,42.8,9.0,0.9,0.11,16676
185,475,47.5,8.0,0.8,0.1095,16683
186,439,43.9,9.0,0.9,0.109,16713
187,473,47.3,8.0,0.8,0.1085,16746
188,498,49.8,8.0,0.8,0.108,16757
189,461,46.1,8.0,0.8,0.1075,16779
190,407,40.7,9.0,0.9,0.107,16786
191,402,40.2,9.0,0.9,0.1065,16811
192,447,44.7,8.0,0.8,0.106,16836
193,492,49.2,7.0,0.7,0.1055,16872
194,389,38.9,9.0,0.9,0.105,16972
195,388,38.8,10.0,1.0,0.1045,17025
196,476,47.6,8.0,0.8,0.104,17028
197,476,47.6,7.0,0.7,0.1035,17060
198,431,43.1,10.0,1.0,0.103,17097
199,446,44.6,8.0,0.8,0.1025,17120
200,425,42.5,10.0,1.0,0.1025,17153
201,364,36.4,10.0,1.0,0.102,17229
202,470,47.0,8.0,0.8,0.1015,17262
203,469,46.9,8.0,0.8,0.101,17298
204,431,43.1,10.0,1.0,0.1005,17334
205,334,33.4,10.0,1.0,0.1,17384
206,459,45.9,9.0,0.9,0.0995,17484
207,388,38.8,10.0,1.0,0.099,17513
208,456,45.6,8.0,0.8,0.0985,17543
209,314,31.4,10.0,1.0,0.098,17549
210,396,39.6,9.0,0.9,0.0975,17583
211,439,43.9,9.0,0.9,0.097,17638
212,425,42.5,9.0,0.9,0.0965,17663
213,419,41.9,9.0,0.9,0.096,17664
214,432,43.2,9.0,0.9,0.0955,17688
215,267,26.7,10.0,1.0,0.095,17717
216,311,31.1,10.0,1.0,0.0945,17750
217,361,36.1,10.0,1.0,0.094,17780
218,399,39.9,8.0,0.8,0.0935,17880
219,377,37.7,10.0,1.0,0.093,17882
220,438,43.8,9.0,0.9,0.0925,17939
221,405,40.5,10.0,1.0,0.092,18039
222,364,36.4,10.0,1.0,0.0915,18046
223,416,41.6,10.0,1.0,0.091,18084
224,376,37.6,9.0,0.9,0.0905,18110
225,346,34.6,9.0,0.9,0.09,18138
226,429,42.9,8.0,0.8,0.0895,18203
227,355,35.5,9.0,0.9,0.089,18222
228,421,42.1,9.0,0.9,0.0885,18252
229,352,35.2,10.0,1.0,0.088,18276
230,406,40.6,9.0,0.9,0.0875,18309
231,338,33.8,10.0,1.0,0.087,18343
232,323,32.3,10.0,1.0,0.0865,18381
233,386,38.6,9.0,0.9,0.086,18415
234,382,38.2,10.0,1.0,0.0855,18447
235,354,35.4,9.0,0.9,0.085,18455
236,431,43.1,10.0,1.0,0.0845,18460
237,384,38.4,10.0,1.0,0.084,18491
238,366,36.6,9.0,0.9,0.0835,18591
239,440,44.0,8.0,0.8,0.083,18592
240,349,34.9,10.0,1.0,0.083,18597
241,407,40.7,9.0,0.9,0.0825,18621
242,338,33.8,10.0,1.0,0.082,18651
243,370,37.0,9.0,0.9,0.0815,18670
244,362,36.2,10.0,1.0,0.081,18671
245,333,33.3,10.0,1.0,0.0805,18771
246,473,47.3,8.0,0.8,0.08,18836
247,424,42.4,9.0,0.9,0.0795,18867
248,410,41.0,9.0,0.9,0.079,18957
249,318,31.8,10.0,1.0,0.0785,18995
250,350,35.0,10.0,1.0,0.078,19027
251,407,40.7,8.0,0.8,0.0775,19127
252,390,39.0,9.0,0.9,0.077,19149
253,262,26.2,10.0,1.0,0.0765,19185
254,272,27.2,10.0,1.0,0.076,19197
255,266,26.6,10.0,1.0,0.0755,19231
256,372,37.2,9.0,0.9,0.075,19246
257,373,37.3,9.0,0.9,0.0745,19267
258,298,29.8,10.0,1.0,0.074,19270
259,320,32.0,10.0,1.0,0.0735,19303
260,274,27.4,10.0,1.0,0.073,19323
261,314,31.4,10.0,1.0,0.0725,19334
262,366,36.6,9.0,0.9,0.072,19366
263,333,33.3,10.0,1.0,0.0715,19435
264,305,30.5,10.0,1.0,0.071,19460
265,362,36.2,10.0,1.0,0.0705,19479
266,316,31.6,10.0,1.0,0.07,19480
267,323,32.3,10.0,1.0,0.0695,19511
268,290,29.0,10.0,1.0,0.069,19541
269,335,33.5,10.0,1.0,0.0685,19568
270,327,32.7,10.0,1.0,0.068,19613
271,279,27.9,10.0,1.0,0.0675,19713
272,300,30.0,10.0,1.0,0.067,19727
273,377,37.7,10.0,1.0,0.0665,19808
274,323,32.3,10.0,1.0,0.066,19822
275,396,39.6,9.0,0.9,0.0655,19843
276,287,28.7,10.0,1.0,0.065,19864
277,343,34.3,10.0,1.0,0.0645,19876
278,310,31.0,10.0,1.0,0.064,19912
279,344,34.4,10.0,1.0,0.0635,19970
280,386,38.6,9.0,0.9,0.0635,20030
281,273,27.3,10.0,1.0,0.063,20062
282,313,31.3,10.0,1.0,0.0625,20063
283,330,33.0,10.0,1.0,0.062,20077
284,293,29.3,10.0,1.0,0.0615,20095
285,334,33.4,9.0,0.9,0.061,20126
286,331,33.1,10.0,1.0,0.0605,20152
287,296,29.6,10.0,1.0,0.06,20180
288,292,29.2,10.0,1.0,0.0595,20188
289,269,26.9,10.0,1.0,0.059,20189
290,308,30.8,10.0,1.0,0.0585,20200
291,305,30.5,10.0,1.0,0.058,20241
292,319,31.9,10.0,1.0,0.0575,20245
293,272,27.2,10.0,1.0,0.057,20335
294,260,26.0,10.0,1.0,0.0565,20364
295,275,27.5,10.0,1.0,0.056,20396
296,277,27.7,10.0,1.0,0.0555,20414
297,324,32.4,10.0,1.0,0.055,20446
298,299,29.9,10.0,1.0,0.0545,20480
299,317,31.7,10.0,1.0,0.054,20506
300,274,27.4,10.0,1.0,0.0535,20547
301,260,26.0,10.0,1.0,0.053,20582
302,260,26.0,10.0,1.0,0.0525,20630
303,294,29.4,10.0,1.0,0.052,20649
304,298,29.8,10.0,1.0,0.0515,20652
305,281,28.1,10.0,1.0,0.051,20680
306,275,27.5,10.0,1.0,0.0505,20711
307,278,27.8,10.0,1.0,0.05,20745
308,264,26.4,10.0,1.0,0.0495,20774
309,329,32.9,10.0,1.0,0.049,20801
310,271,27.1,10.0,1.0,0.0485,20831
311,264,26.4,10.0,1.0,0.048,20838
312,284,28.4,10.0,1.0,0.0475,20872
313,292,29.2,10.0,1.0,0.047,20912
314,285,28.5,10.0,1.0,0.0465,20952
315,277,27.7,10.0,1.0,0.046,20969
316,290,29.0,10.0,1.0,0.0455,20978
317,270,27.0,10.0,1.0,0.045,21011
318,270,27.0,10.0,1.0,0.0445,21052
319,257,25.7,10.0,1.0,0.044,21083
320,282,28.2,10.0,1.0,0.044,21111
321,314,31.4,10.0,1.0,0.0435,21131
322,310,31.0,10.0,1.0,0.043,21162
323,277,27.7,10.0,1.0,0.0425,21182
324,262,26.2,10.0,1.0,0.042,21199
325,265,26.5,10.0,1.0,0.0415,21224
326,277,27.7,10.0,1.0,0.041,21254
327,274,27.4,10.0,1.0,0.0405,21290
328,259,25.9,10.0,1.0,0.04,21305
329,263,26.3,10.0,1.0,0.0395,21334
330,322,32.2,10.0,1.0,0.039,21378
331,262,26.2,10.0,1.0,0.0385,21405
332,264,26.4,10.0,1.0,0.038,21431
333,275,27.5,10.0,1.0,0.0375,21446
334,273,27.3,10.0,1.0,0.037,21451
335,268,26.8,10.0,1.0,0.0365,21531
336,280,28.0,10.0,1.0,0.036,21575
337,259,25.9,10.0,1.0,0.0355,21597
338,267,26.7,10.0,1.0,0.035,21618
339,287,28.7,10.0,1.0,0.0345,21641
340,276,27.6,10.0,1.0,0.034,21675
341,264,26.4,10.0,1.0,0.0335,21694
342,274,27.4,10.0,1.0,0.033,21726
343,257,25.7,10.0,1.0,0.0325,21776
344,273,27.3,10.0,1.0,0.032,21778
345,255,25.5,10.0,1.0,0.0315,21810
346,272,27.2,10.0,1.0,0.031,21844
347,257,25.7,10.0,1.0,0.0305,21865
348,256,25.6,10.0,1.0,0.03,21902
349,274,27.4,10.0,1.0,0.0295,21933
350,264,26.4,10.0,1.0,0.029,21951
351,258,25.8,10.0,1.0,0.0285,21977
