episode,omega2,omega3,omega4,omega
1,0,1,0,0
2,1,1,0,0
3,2,1,0,0
4,3,1,0,0
5,3,2,0,0
6,3,3,0,0
7,3,3,1,0
8,3,4,1,0
9,3,5,1,0
10,4,5,1,0
11,4,5,1,1
12,4,5,1,2
13,4,5,1,3
14,4,6,1,3
15,5,6,1,3
16,5,6,1,4
17,6,6,1,4
18,6,7,1,4
19,6,7,1,5
20,6,7,1,6
21,6,7,2,6
22,6,7,2,7
23,6,7,2,8
24,6,7,2,9
25,6,7,2,10
26,6,7,3,10
27,7,7,3,10
28,8,7,3,10
29,8,7,4,10
30,9,7,4,10
31,9,7,4,11
32,9,7,5,11
33,10,7,5,11
34,10,7,6,11
35,10,7,7,11
36,10,8,7,11
37,10,8,7,12
38,11,8,7,12
39,11,8,7,13
40,11,8,7,14
41,11,8,7,15
42,11,8,8,15
43,11,8,8,16
44,12,8,8,16
45,12,8,9,16
46,12,8,10,16
47,12,9,10,16
48,12,10,10,16
49,12,10,11,16
50,13,10,11,16
51,13,11,11,16
52,14,11,11,16
53,14,11,11,17
54,14,11,11,18
55,14,11,11,19
56,14,11,12,19
57,14,11,13,19
58,14,12,13,19
59,14,12,14,19
60,15,12,14,19
61,15,12,14,20
62,15,12,14,21
63,15,13,14,21
64,16,13,14,21
65,17,13,14,21
66,17,13,15,21
67,17,13,16,21
68,17,13,17,21
69,17,13,17,22
70,17,13,18,22
71,17,13,19,22
72,17,13,20,22
73,17,14,20,22
74,17,15,20,22
75,17,15,20,23
76,17,15,21,23
77,17,15,22,23
78,17,15,23,23
79,17,15,23,24
80,17,16,23,24
81,17,16,24,24
82,17,17,24,24
83,17,17,24,25
84,17,17,24,26
85,18,17,24,26
86,18,17,24,27
87,19,17,24,27
88,19,17,24,28
89,19,17,24,29
90,19,18,24,29
91,20,18,24,29
92,21,18,24,29
93,22,18,24,29
94,23,18,24,29
95,23,19,24,29
96,23,20,24,29
97,23,20,24,30
98,24,20,24,30
99,24,20,24,31
100,24,21,24,31
101,24,21,25,31
102,25,21,25,31
103,25,21,25,32
104,25,22,25,32
105,25,23,25,32
106,26,23,25,32
107,27,23,25,32
108,28,23,25,32
109,29,23,25,32
110,30,23,25,32
111,30,23,26,32
112,30,24,26,32
113,30,24,26,33
114,30,25,26,33
115,30,25,26,34
116,30,26,26,34
117,30,27,26,34
118,31,27,26,34
119,31,28,26,34
120,31,29,26,34
121,31,30,26,34
122,32,30,26,34
123,32,30,26,35
124,32,31,26,35
125,33,31,26,35
126,33,31,27,35
127,33,31,27,36
128,33,31,28,36
129,33,32,28,36
130,33,32,29,36
131,34,32,29,36
132,34,33,29,36
133,34,34,29,36
134,34,34,29,37
135,34,35,29,37
136,35,35,29,37
137,35,36,29,37
138,35,36,30,37
139,35,36,31,37
140,36,36,31,37
141,36,37,31,37
142,36,38,31,37
143,36,38,32,37
144,36,39,32,37
145,37,39,32,37
146,38,39,32,37
