episode,omega2,omega3,omega4,omega
1,0,1,0,0
2,0,1,0,1
3,0,1,0,2
4,0,1,1,2
5,0,1,2,2
6,1,1,2,2
7,1,1,2,3
8,2,1,2,3
9,2,2,2,3
10,3,2,2,3
11,3,3,2,3
12,3,3,2,4
13,3,3,2,5
14,4,3,2,5
15,4,3,2,6
16,4,4,2,6
17,4,4,3,6
18,4,5,3,6
19,4,6,3,6
20,4,6,4,6
21,4,7,4,6
22,4,7,4,7
23,4,7,4,8
24,5,7,4,8
25,6,7,4,8
26,6,8,4,8
27,6,8,5,8
28,6,8,5,9
29,7,8,5,9
30,7,8,5,10
31,7,9,5,10
32,7,9,5,11
33,7,9,5,12
34,7,10,5,12
35,7,10,5,13
36,7,11,5,13
37,7,11,6,13
38,7,12,6,13
39,7,12,7,13
40,7,12,8,13
41,7,12,9,13
42,7,13,9,13
43,7,13,9,14
44,7,13,9,15
45,8,13,9,15
46,8,13,9,16
47,9,13,9,16
48,9,13,9,17
49,10,13,9,17
50,10,13,9,18
51,10,13,9,19
52,10,13,10,19
53,10,13,11,19
54,10,13,11,20
55,10,14,11,20
56,10,15,11,20
57,11,15,11,20
58,11,15,11,21
59,11,15,11,22
60,11,15,12,22
61,11,16,12,22
62,12,16,12,22
63,12,17,12,22
64,12,18,12,22
65,12,19,12,22
66,12,19,13,22
67,12,19,14,22
68,13,19,14,22
69,13,20,14,22
70,13,21,14,22
71,13,21,14,23
72,13,22,14,23
73,13,23,14,23
74,14,23,14,23
75,14,23,15,23
76,14,23,15,24
77,14,24,15,24
78,15,24,15,24
79,16,24,15,24
80,16,25,15,24
81,16,26,15,24
82,16,26,16,24
83,16,26,17,24
84,16,26,17,25
85,16,27,17,25
86,16,27,18,25
87,17,27,18,25
88,17,28,18,25
89,18,28,18,25
90,18,28,18,26
91,18,29,18,26
92,19,29,18,26
93,20,29,18,26
94,21,29,18,26
95,21,29,18,27
96,21,30,18,27
97,21,30,19,27
98,21,30,19,28
99,21,30,20,28
100,21,30,20,29
101,21,30,21,29
102,22,30,21,29
103,22,31,21,29
104,23,31,21,29
105,24,31,21,29
106,25,31,21,29
107,25,32,21,29
108,25,33,21,29
109,25,33,21,30
110,25,34,21,30
111,25,34,22,30
112,25,35,22,30
113,26,35,22,30
114,26,35,23,30
115,26,36,23,30
116,26,36,24,30
117,26,37,24,30
118,27,37,24,30
119,27,38,24,30
120,27,39,24,30
121,28,39,24,30
122,29,39,24,30
123,29,40,24,30
124,29,40,25,30
125,29,40,26,30
126,29,40,26,31
127,29,41,26,31
128,29,41,27,31
129,30,41,27,31
130,30,41,27,32
131,31,41,27,32
132,32,41,27,32
133,32,41,28,32
134,32,41,29,32
135,32,42,29,32
136,32,42,30,32
137,32,42,31,32
138,32,42,32,32
139,33,42,32,32
140,33,42,32,33
141,33,42,33,33
142,33,42,34,33
143,33,42,34,34
144,33,43,34,34
145,34,43,34,34
146,35,43,34,34
147,36,43,34,34
148,36,44,34,34
149,36,45,34,34
150,37,45,34,34
151,38,45,34,34
152,38,45,34,35
153,39,45,34,35
154,39,45,35,35
155,39,46,35,35
156,40,46,35,35
157,41,46,35,35
158,41,47,35,35
159,41,47,35,36
160,41,47,35,37
161,42,47,35,37
162,42,48,35,37
163,43,48,35,37
164,44,48,35,37
165,44,48,35,38
166,44,48,35,39
167,44,48,36,39
168,44,48,37,39
169,45,48,37,39
170,45,49,37,39
171,45,49,37,40
172,45,49,37,41
173,45,50,37,41
174,45,51,37,41
175,45,51,37,42
176,45,51,37,43
177,45,51,37,44
178,46,51,37,44
179,46,51,38,44
180,46,51,38,45
181,46,52,38,45
182,46,52,38,46
183,47,52,38,46
184,48,52,38,46
185,48,53,38,46
186,49,53,38,46
187,49,54,38,46
188,50,54,38,46
189,50,54,38,47
190,51,54,38,47
191,52,54,38,47
192,53,54,38,47
193,54,54,38,47
194,54,54,39,47
195,54,54,39,48
196,54,54,40,48
197,54,54,41,48
198,55,54,41,48
199,56,54,41,48
200,57,54,41,48
201,57,55,41,48
202,57,55,41,49
203,57,55,41,50
204,57,56,41,50
205,57,56,41,51
206,58,56,41,51
207,58,57,41,51
208,59,57,41,51
209,59,57,42,51
210,59,57,42,52
211,59,58,42,52
212,59,59,42,52
213,59,59,42,53
214,60,59,42,53
215,60,60,42,53
216,60,61,42,53
217,61,61,42,53
218,61,62,42,53
219,61,62,43,53
220,62,62,43,53
221,62,62,43,54
222,62,62,44,54
223,62,62,45,54
224,62,62,45,55
225,63,62,45,55
226,63,63,45,55
227,63,63,45,56
228,64,63,45,56
229,65,63,45,56
230,66,63,45,56
231,66,63,45,57
232,67,63,45,57
233,68,63,45,57
234,68,63,45,58
235,68,63,46,58
236,68,63,47,58
237,69,63,47,58
238,69,64,47,58
239,70,64,47,58
240,70,64,48,58
241,70,64,48,59
242,70,64,48,60
243,71,64,48,60
244,72,64,48,60
245,72,64,49,60
246,73,64,49,60
247,74,64,49,60
248,74,64,50,60
249,75,64,50,60
250,75,64,51,60
251,75,65,51,60
252,76,65,51,60
253,77,65,51,60
254,78,65,51,60
255,78,66,51,60
256,79,66,51,60
257,79,67,51,60
258,79,68,51,60
259,79,68,51,61
260,80,68,51,61
261,80,68,51,62
262,80,68,51,63
263,81,68,51,63
264,81,69,51,63
265,81,69,52,63
266,81,70,52,63
267,81,71,52,63
268,81,71,52,64
269,81,71,53,64
270,82,71,53,64
271,83,71,53,64
272,83,71,54,64
273,83,71,54,65
274,84,71,54,65
275,84,71,54,66
276,84,71,54,67
277,84,72,54,67
278,85,72,54,67
279,85,72,54,68
280,86,72,54,68
281,86,72,54,69
282,86,73,54,69
283,86,73,54,70
284,86,73,55,70
285,86,74,55,70
286,86,74,56,70
287,86,75,56,70
288,86,75,56,71
289,86,75,56,72
290,86,76,56,72
291,86,76,57,72
292,87,76,57,72
293,87,76,57,73
294,87,77,57,73
295,88,77,57,73
296,89,77,57,73
297,89,77,57,74
298,89,78,57,74
299,89,79,57,74
300,89,79,57,75
301,89,79,57,76
302,89,79,58,76
303,89,79,59,76
304,89,79,59,77
305,89,79,59,78
306,89,79,59,79
307,89,79,59,80
308,90,79,59,80
309,91,79,59,80
310,91,80,59,80
311,91,80,59,81
312,91,80,60,81
313,91,80,60,82
314,91,81,60,82
315,92,81,60,82
316,92,81,60,83
317,92,81,60,84
318,93,81,60,84
319,93,81,60,85
320,93,81,60,86
321,94,81,60,86
322,94,81,60,87
323,95,81,60,87
324,95,82,60,87
325,95,83,60,87
326,95,83,60,88
327,95,83,61,88
328,95,83,61,89
329,96,83,61,89
330,96,83,61,90
331,96,83,61,91
332,96,84,61,91
333,97,84,61,91
334,97,84,62,91
335,97,85,62,91
336,97,85,62,92
337,97,85,62,93
338,97,85,62,94
339,97,85,62,95
340,98,85,62,95
341,99,85,62,95
342,100,85,62,95
343,100,85,62,96
344,101,85,62,96
345,101,85,62,97
346,102,85,62,97
347,103,85,62,97
348,103,85,62,98
349,103,86,62,98
350,104,86,62,98
351,105,86,62,98
352,105,86,63,98
353,105,86,64,98
354,105,87,64,98
355,106,87,64,98
356,107,87,64,98
357,107,87,65,98
358,107,87,65,99
359,108,87,65,99
360,108,88,65,99
361,108,89,65,99
362,109,89,65,99
363,110,89,65,99
364,110,90,65,99
365,111,90,65,99
366,112,90,65,99
367,112,90,65,100
368,112,90,65,101
369,112,90,65,102
370,112,90,65,103
371,112,90,65,104
372,112,91,65,104
373,112,92,65,104
374,113,92,65,104
375,113,92,66,104
376,113,92,66,105
377,114,92,66,105
378,114,92,66,106
379,114,93,66,106
380,114,93,67,106
381,114,93,68,106
382,115,93,68,106
383,116,93,68,106
384,117,93,68,106
385,118,93,68,106
386,119,93,68,106
387,120,93,68,106
388,120,93,68,107
389,121,93,68,107
390,121,93,68,108
391,122,93,68,108
392,122,93,68,109
393,122,93,69,109
394,122,93,69,110
395,122,93,69,111
396,123,93,69,111
397,124,93,69,111
398,124,93,69,112
399,124,93,70,112
400,124,93,70,113
401,124,93,71,113
402,125,93,71,113
403,125,93,71,114
404,125,93,72,114
405,126,93,72,114
406,126,94,72,114
407,127,94,72,114
408,127,94,72,115
409,128,94,72,115
410,128,94,72,116
411,128,95,72,116
412,128,96,72,116
413,128,96,73,116
414,128,96,73,117
415,128,97,73,117
416,128,97,73,118
417,128,97,73,119
418,129,97,73,119
419,130,97,73,119
420,131,97,73,119
421,131,98,73,119
422,132,98,73,119
423,133,98,73,119
424,133,98,73,120
425,133,99,73,120
426,133,99,73,121
427,134,99,73,121
428,134,99,73,122
429,135,99,73,122
430,135,99,74,122
431,135,99,74,123
432,136,99,74,123
433,136,99,74,124
434,136,100,74,124
435,136,100,75,124
436,137,100,75,124
437,138,100,75,124
438,138,100,75,125
439,138,100,76,125
440,138,101,76,125
441,138,101,76,126
442,139,101,76,126
443,140,101,76,126
444,141,101,76,126
445,142,101,76,126
446,143,101,76,126
447,143,101,77,126
448,144,101,77,126
449,144,101,77,127
450,145,101,77,127
451,145,101,77,128
452,145,101,78,128
453,145,101,79,128
454,145,101,79,129
455,145,101,79,130
456,145,101,80,130
457,145,102,80,130
458,145,102,80,131
459,145,103,80,131
460,146,103,80,131
461,146,103,81,131
462,147,103,81,131
463,147,103,81,132
464,147,103,82,132
465,147,103,82,133
466,147,103,83,133
467,148,103,83,133
468,148,103,83,134
469,148,103,83,135
470,149,103,83,135
471,149,103,83,136
472,149,103,83,137
473,149,104,83,137
474,149,105,83,137
475,149,105,83,138
476,149,105,83,139
477,150,105,83,139
478,150,106,83,139
479,151,106,83,139
480,151,106,83,140
481,152,106,83,140
482,152,106,83,141
483,152,106,83,142
484,152,106,83,143
485,153,106,83,143
486,154,106,83,143
487,154,107,83,143
488,155,107,83,143
489,155,107,83,144
490,156,107,83,144
491,156,107,83,145
492,156,107,83,146
493,156,107,83,147
494,156,108,83,147
495,156,108,83,148
496,156,108,84,148
497,157,108,84,148
498,157,108,85,148
499,157,108,85,149
500,158,108,85,149
501,159,108,85,149
502,159,108,85,150
503,159,108,85,151
504,159,108,85,152
505,160,108,85,152
506,160,108,86,152
507,160,108,87,152
508,161,108,87,152
509,161,109,87,152
510,161,109,87,153
511,161,109,87,154
512,162,109,87,154
513,162,110,87,154
514,163,110,87,154
515,164,110,87,154
516,164,111,87,154
517,165,111,87,154
518,166,111,87,154
519,166,111,88,154
520,167,111,88,154
521,167,111,89,154
522,168,111,89,154
523,168,111,89,155
524,168,111,89,156
525,168,111,89,157
526,169,111,89,157
527,169,111,89,158
528,170,111,89,158
529,170,111,89,159
530,171,111,89,159
531,172,111,89,159
532,172,111,89,160
533,173,111,89,160
534,173,111,90,160
535,173,111,91,160
536,173,111,92,160
537,174,111,92,160
538,174,111,92,161
539,174,112,92,161
540,174,112,93,161
541,174,112,93,162
542,174,112,94,162
543,175,112,94,162
544,175,113,94,162
545,175,114,94,162
546,176,114,94,162
547,176,114,94,163
548,177,114,94,163
549,177,115,94,163
550,178,115,94,163
551,178,115,95,163
552,178,116,95,163
553,179,116,95,163
554,179,116,95,164
555,179,116,95,165
556,179,116,95,166
557,179,117,95,166
558,179,117,96,166
559,180,117,96,166
560,181,117,96,166
561,182,117,96,166
562,183,117,96,166
563,183,117,96,167
564,183,117,97,167
565,183,117,98,167
566,184,117,98,167
567,184,117,99,167
568,185,117,99,167
569,185,117,99,168
570,185,117,100,168
571,185,118,100,168
572,185,118,101,168
573,185,118,101,169
574,186,118,101,169
575,186,118,101,170
576,186,118,101,171
577,187,118,101,171
578,188,118,101,171
579,188,118,101,172
580,189,118,101,172
581,189,118,101,173
582,190,118,101,173
583,191,118,101,173
584,192,118,101,173
585,192,118,102,173
586,193,118,102,173
587,193,118,102,174
588,193,118,102,175
589,193,118,103,175
590,194,118,103,175
591,195,118,103,175
592,195,118,103,176
593,195,118,103,177
594,195,119,103,177
595,196,119,103,177
596,196,119,104,177
597,196,120,104,177
598,197,120,104,177
599,197,121,104,177
600,198,121,104,177
601,199,121,104,177
602,200,121,104,177
603,201,121,104,177
604,201,122,104,177
605,202,122,104,177
606,202,123,104,177
607,202,123,105,177
608,202,124,105,177
609,202,124,105,178
610,203,124,105,178
611,204,124,105,178
612,204,124,106,178
613,204,125,106,178
614,204,125,106,179
615,205,125,106,179
616,205,125,106,180
617,205,125,106,181
618,206,125,106,181
619,206,125,107,181
620,206,126,107,181
621,206,126,107,182
622,207,126,107,182
623,207,126,107,183
624,208,126,107,183
625,208,127,107,183
626,208,128,107,183
627,208,129,107,183
628,208,129,108,183
629,208,130,108,183
630,208,130,108,184
631,208,131,108,184
632,208,131,108,185
633,208,131,108,186
634,209,131,108,186
635,209,131,109,186
636,209,131,109,187
637,210,131,109,187
638,210,131,110,187
639,210,132,110,187
640,210,132,111,187
641,211,132,111,187
642,211,132,112,187
643,211,132,113,187
644,212,132,113,187
645,213,132,113,187
646,213,133,113,187
647,214,133,113,187
648,214,133,114,187
649,214,133,114,188
650,214,133,114,189
651,214,133,114,190
652,214,133,114,191
653,215,133,114,191
654,215,133,115,191
655,215,133,116,191
656,215,134,116,191
657,215,135,116,191
658,215,135,117,191
659,215,135,117,192
660,216,135,117,192
661,216,135,117,193
662,217,135,117,193
663,217,135,118,193
664,217,135,118,194
665,218,135,118,194
666,218,135,118,195
667,218,135,118,196
668,218,135,118,197
669,218,135,118,198
670,218,135,118,199
671,218,135,119,199
672,218,136,119,199
673,218,136,119,200
674,218,137,119,200
675,218,137,119,201
676,219,137,119,201
677,219,137,119,202
678,219,137,119,203
679,220,137,119,203
680,221,137,119,203
681,222,137,119,203
682,222,137,119,204
683,222,137,119,205
684,222,138,119,205
685,223,138,119,205
686,223,138,120,205
687,223,138,121,205
688,223,138,122,205
689,223,138,123,205
690,223,139,123,205
691,223,139,123,206
692,223,140,123,206
693,224,140,123,206
694,224,140,124,206
695,224,140,125,206
696,225,140,125,206
697,226,140,125,206
698,227,140,125,206
699,228,140,125,206
700,228,140,125,207
701,228,141,125,207
702,228,141,126,207
703,229,141,126,207
704,229,141,127,207
705,229,142,127,207
706,229,142,128,207
707,229,143,128,207
708,229,143,128,208
709,229,143,128,209
710,229,143,129,209
711,230,143,129,209
712,230,143,130,209
713,230,143,131,209
714,231,143,131,209
715,231,143,132,209
716,231,143,132,210
717,232,143,132,210
718,233,143,132,210
719,233,144,132,210
720,233,145,132,210
721,234,145,132,210
722,234,145,133,210
723,234,145,134,210
724,234,146,134,210
725,235,146,134,210
726,235,147,134,210
727,236,147,134,210
728,237,147,134,210
729,237,147,134,211
730,237,147,135,211
731,237,147,135,212
732,237,147,135,213
733,238,147,135,213
734,239,147,135,213
735,239,148,135,213
736,239,148,135,214
737,239,149,135,214
738,239,150,135,214
739,239,150,135,215
740,240,150,135,215
741,240,150,136,215
742,241,150,136,215
743,242,150,136,215
744,242,151,136,215
745,242,151,136,216
746,242,151,136,217
747,242,151,136,218
748,242,151,136,219
749,243,151,136,219
750,243,152,136,219
751,244,152,136,219
752,245,152,136,219
753,245,152,137,219
754,245,152,138,219
755,245,152,138,220
756,245,152,138,221
757,245,153,138,221
758,245,153,138,222
759,245,153,138,223
760,245,153,139,223
761,245,154,139,223
762,245,154,139,224
763,245,154,139,225
764,246,154,139,225
765,246,155,139,225
766,246,155,139,226
767,246,156,139,226
768,247,156,139,226
769,247,157,139,226
770,248,157,139,226
771,248,157,140,226
772,248,157,141,226
773,248,157,141,227
774,248,157,141,228
775,249,157,141,228
776,249,157,142,228
777,249,158,142,228
778,249,158,142,229
779,250,158,142,229
780,251,158,142,229
781,251,158,142,230
782,252,158,142,230
783,252,159,142,230
784,252,159,142,231
785,252,160,142,231
786,252,160,143,231
787,253,160,143,231
788,254,160,143,231
789,255,160,143,231
790,255,161,143,231
791,255,161,143,232
792,255,162,143,232
793,256,162,143,232
794,256,162,143,233
795,256,162,144,233
796,257,162,144,233
797,258,162,144,233
798,259,162,144,233
799,260,162,144,233
800,260,162,145,233
801,261,162,145,233
802,261,162,145,234
803,261,162,145,235
804,261,162,145,236
805,261,163,145,236
806,262,163,145,236
807,262,163,146,236
808,262,163,146,237
809,262,163,146,238
810,263,163,146,238
811,263,163,146,239
812,263,164,146,239
813,263,165,146,239
