"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper"
0,94.04,91.0239412639,97.0560587361,0.07,0.0354449785595,0.10455502144
10,92.57,89.9777591533,95.1622408467,0.1,0.0662777520555,0.133722247945
20,91.3,89.0168269909,93.5831730091,0.1,0.0662777520555,0.133722247945
30,90.08,88.8736104401,91.2863895599,0.11,0.0873784283726,0.132621571627
40,90.92,89.7780151055,92.0619848945,0.11,0.0873784283726,0.132621571627
50,90.55,90.2734570053,90.8265429947,0.11,0.0873784283726,0.132621571627
60,90.52,89.6996409044,91.3403590956,0.11,0.0873784283726,0.132621571627
70,91.03,89.3274271863,92.7325728137,0.11,0.0873784283726,0.132621571627
80,90.49,90.1372033926,90.8427966074,0.1,0.1,0.1
90,90.13,89.6118941218,90.6481058782,0.12,0.0898379044968,0.150162095503
100,89.37,87.0377828874,91.7022171126,0.13,0.0817170888079,0.178282911192
110,90.14,89.7065674342,90.5734325658,0.11,0.0873784283726,0.132621571627
120,90.26,90.1422132517,90.3777867483,0.1,0.1,0.1
130,87.33,83.9290565405,90.7309434595,0.17,0.102135285118,0.237864714882
140,86.83,83.8205751263,89.8394248737,0.18,0.114263236888,0.245736763112
150,86.39,82.5605644191,90.2194355809,0.19,0.111274619499,0.268725380501
160,86.66,82.6771755201,90.6428244799,0.17,0.0942186729301,0.24578132707
170,84.57,78.654359297,90.485640703,0.22,0.132063136037,0.307936863963
180,80.98,73.1486803922,88.8113196078,0.27,0.168552626657,0.371447373343
190,77.94,72.3674355146,83.5125644854,0.32,0.238786072393,0.401213927607
200,75.03,67.2138514353,82.8461485647,0.37,0.24817910859,0.49182089141
210,74.14,66.0742332462,82.2057667538,0.35,0.231972132194,0.468027867806
220,72.36,64.5066104492,80.2133895508,0.37,0.252939590051,0.487060409949
230,67.35,58.2785115927,76.4214884073,0.48,0.333783817172,0.626216182828
240,65.72,57.1667853964,74.2732146036,0.46,0.337480988884,0.582519011116
250,65.46,56.4920882095,74.4279117905,0.46,0.320144116639,0.599855883361
260,62.83,52.9880101393,72.6719898607,0.5,0.360959609792,0.639040390208
270,63.72,54.3552400635,73.0847599365,0.51,0.361277622312,0.658722377688
280,60.5,50.328115576,70.671884424,0.6,0.465111008222,0.734888991778
290,57.64,48.2983164611,66.9816835389,0.58,0.459351617987,0.700648382013
300,56.81,47.339183061,66.280816939,0.55,0.427249164625,0.672750835375
310,53.4,45.093846829,61.706153171,0.62,0.481779914238,0.758220085762
320,49.8,41.1821345485,58.4178654515,0.68,0.585818886977,0.774181113023
330,47.98,37.999935047,57.960064953,0.69,0.566326213018,0.813673786982
340,46.43,37.8028991892,55.0571008108,0.71,0.606334935679,0.813665064321
350,45.73,36.214286095,55.245713905,0.74,0.608526473776,0.871473526224
360,44.0,35.5890872606,52.4109127394,0.74,0.643434177616,0.836565822384
370,42.1,34.5023842736,49.6976157264,0.76,0.652299776854,0.867700223146
380,40.37,32.5986459532,48.1413540468,0.82,0.704160274189,0.935839725811
390,38.8,29.5553669325,48.0446330675,0.8,0.656928618809,0.943071381191
400,38.08,30.3159110249,45.8440889751,0.82,0.709177384666,0.930822615334
410,37.01,29.5978951615,44.4221048385,0.83,0.712939590051,0.947060409949
420,38.67,31.9336443921,45.4063556079,0.82,0.738786072393,0.901213927607
430,38.18,31.0398923159,45.3201076841,0.83,0.734321478106,0.925678521894
440,36.19,30.6030417012,41.7769582988,0.86,0.76951371349,0.95048628651
450,33.84,27.6184326029,40.0615673971,0.9,0.824594761242,0.975405238758
460,31.71,26.4657350514,36.9542649486,0.9,0.832555504111,0.967444495889
470,31.75,25.8331867829,37.6668132171,0.9,0.810779318289,0.989220681711
480,31.84,26.1643142485,37.5156857515,0.91,0.83886284003,0.98113715997
490,29.69,23.3461424296,36.0338575704,0.93,0.840461239983,1.01953876002
