episode,omega1,omega2,omega3,omega4,omega5,omega
1,1,0,0,0,0,0
2,1,0,0,0,1,0
3,1,0,0,1,1,0
4,1,0,1,1,1,0
5,1,0,1,1,1,1
6,1,0,1,1,2,1
7,1,0,1,2,2,1
8,1,1,1,2,2,1
9,1,1,2,2,2,1
10,1,1,2,2,3,1
11,2,1,2,2,3,1
12,2,1,2,3,3,1
13,2,1,2,3,4,1
14,2,2,2,3,4,1
15,2,2,2,3,5,1
16,2,3,2,3,5,1
17,2,3,2,4,5,1
18,3,3,2,4,5,1
19,3,3,3,4,5,1
20,3,3,4,4,5,1
21,3,3,4,4,6,1
22,3,3,4,5,6,1
23,3,3,4,5,6,2
24,3,3,4,6,6,2
25,3,3,4,6,7,2
26,3,3,4,6,8,2
27,3,3,4,6,8,3
28,3,3,4,7,8,3
29,4,3,4,7,8,3
30,4,3,4,8,8,3
31,4,3,5,8,8,3
32,4,3,5,8,8,4
33,5,3,5,8,8,4
34,5,3,5,9,8,4
35,5,3,5,9,9,4
36,5,3,6,9,9,4
37,5,3,7,9,9,4
38,5,3,7,9,9,5
39,5,3,8,9,9,5
40,6,3,8,9,9,5
41,6,4,8,9,9,5
42,6,5,8,9,9,5
43,6,6,8,9,9,5
44,6,7,8,9,9,5
45,6,8,8,9,9,5
46,6,8,9,9,9,5
47,6,8,10,9,9,5
48,6,8,10,9,9,6
49,6,8,10,10,9,6
50,6,8,11,10,9,6
51,6,8,11,11,9,6
52,7,8,11,11,9,6
53,7,8,11,12,9,6
54,7,8,11,13,9,6
55,7,8,12,13,9,6
56,7,8,13,13,9,6
57,7,8,14,13,9,6
58,7,8,14,13,10,6
59,7,8,15,13,10,6
60,7,8,15,13,11,6
61,7,8,15,13,11,7
62,8,8,15,13,11,7
63,9,8,15,13,11,7
64,10,8,15,13,11,7
65,11,8,15,13,11,7
66,11,8,15,14,11,7
67,12,8,15,14,11,7
68,12,8,15,14,12,7
69,12,8,16,14,12,7
70,12,8,17,14,12,7
71,12,8,18,14,12,7
72,12,8,19,14,12,7
73,12,8,19,15,12,7
