episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,901,90.1,1.0,0.1,1.0,0
1,904,90.4,1.0,0.1,0.9995,1
2,905,90.5,1.0,0.1,0.999,101
3,903,90.3,1.0,0.1,0.9985,201
4,915,91.5,1.0,0.1,0.998,301
5,901,90.1,1.0,0.1,0.9975,401
6,1000,100.0,0,0.0,0.997,501
7,905,90.5,1.0,0.1,0.9965,601
8,905,90.5,1.0,0.1,0.996,701
9,903,90.3,1.0,0.1,0.9955,801
10,901,90.1,1.0,0.1,0.995,901
11,916,91.6,1.0,0.1,0.9945,1001
12,1000,100.0,0,0.0,0.994,1101
13,914,91.4,1.0,0.1,0.9935,1201
14,911,91.1,1.0,0.1,0.993,1301
15,902,90.2,1.0,0.1,0.9925,1401
16,1000,100.0,0,0.0,0.992,1501
17,905,90.5,1.0,0.1,0.9915,1601
18,1000,100.0,0,0.0,0.991,1701
19,901,90.1,1.0,0.1,0.9905,1801
20,901,90.1,1.0,0.1,0.99,1901
21,930,93.0,1.0,0.1,0.9895,2001
22,906,90.6,1.0,0.1,0.989,2101
23,903,90.3,1.0,0.1,0.9885,2201
24,922,92.2,1.0,0.1,0.988,2301
25,895,89.5,2.0,0.2,0.9875,2401
26,904,90.4,1.0,0.1,0.987,2501
27,901,90.1,1.0,0.1,0.9865,2601
28,913,91.3,1.0,0.1,0.986,2701
29,934,93.4,1.0,0.1,0.9855,2801
30,920,92.0,1.0,0.1,0.985,2901
31,974,97.4,1.0,0.1,0.9845,3001
32,1000,100.0,0,0.0,0.984,3101
33,904,90.4,1.0,0.1,0.9835,3201
34,910,91.0,1.0,0.1,0.983,3301
35,901,90.1,1.0,0.1,0.9825,3401
36,901,90.1,1.0,0.1,0.982,3501
37,914,91.4,1.0,0.1,0.9815,3601
38,901,90.1,1.0,0.1,0.981,3701
39,902,90.2,1.0,0.1,0.9805,3725
40,902,90.2,1.0,0.1,0.98,3825
41,901,90.1,1.0,0.1,0.9795,3925
42,901,90.1,1.0,0.1,0.979,4025
43,909,90.9,1.0,0.1,0.9785,4043
44,914,91.4,1.0,0.1,0.978,4143
45,901,90.1,1.0,0.1,0.9775,4243
46,904,90.4,1.0,0.1,0.977,4343
47,902,90.2,1.0,0.1,0.9765,4443
48,903,90.3,1.0,0.1,0.976,4543
49,901,90.1,1.0,0.1,0.9755,4643
50,906,90.6,1.0,0.1,0.975,4743
51,901,90.1,1.0,0.1,0.9745,4843
52,901,90.1,2.0,0.2,0.974,4943
53,902,90.2,1.0,0.1,0.9735,5043
54,904,90.4,1.0,0.1,0.973,5143
55,901,90.1,1.0,0.1,0.9725,5243
56,901,90.1,1.0,0.1,0.972,5343
57,902,90.2,1.0,0.1,0.9715,5443
58,907,90.7,1.0,0.1,0.971,5543
59,901,90.1,1.0,0.1,0.9705,5643
60,912,91.2,1.0,0.1,0.97,5743
61,901,90.1,1.0,0.1,0.9695,5843
62,909,90.9,1.0,0.1,0.969,5943
63,903,90.3,1.0,0.1,0.9685,6043
64,873,87.3,2.0,0.2,0.968,6143
65,907,90.7,1.0,0.1,0.9675,6243
66,920,92.0,1.0,0.1,0.967,6343
67,901,90.1,1.0,0.1,0.9665,6443
68,902,90.2,1.0,0.1,0.966,6543
69,902,90.2,1.0,0.1,0.9655,6643
70,901,90.1,1.0,0.1,0.965,6743
71,901,90.1,1.0,0.1,0.9645,6843
72,901,90.1,1.0,0.1,0.964,6943
73,919,91.9,1.0,0.1,0.9635,7043
74,903,90.3,1.0,0.1,0.963,7143
75,1000,100.0,0,0.0,0.9625,7243
76,901,90.1,1.0,0.1,0.962,7343
77,901,90.1,1.0,0.1,0.9615,7443
78,908,90.8,1.0,0.1,0.961,7543
79,911,91.1,1.0,0.1,0.9605,7643
80,908,90.8,1.0,0.1,0.96,7743
81,906,90.6,1.0,0.1,0.9595,7843
82,905,90.5,1.0,0.1,0.959,7943
83,909,90.9,1.0,0.1,0.9585,8043
84,910,91.0,1.0,0.1,0.958,8143
85,986,98.6,1.0,0.1,0.9575,8243
86,912,91.2,1.0,0.1,0.957,8343
87,854,85.4,3.0,0.3,0.9565,8443
88,901,90.1,1.0,0.1,0.956,8543
89,905,90.5,1.0,0.1,0.9555,8643
90,901,90.1,1.0,0.1,0.955,8743
91,903,90.3,1.0,0.1,0.9545,8843
92,903,90.3,1.0,0.1,0.954,8943
93,917,91.7,1.0,0.1,0.9535,9043
94,1000,100.0,0,0.0,0.953,9143
95,907,90.7,1.0,0.1,0.9525,9243
96,919,91.9,1.0,0.1,0.952,9343
97,908,90.8,1.0,0.1,0.9515,9443
98,928,92.8,1.0,0.1,0.951,9543
99,901,90.1,1.0,0.1,0.9505,9643
100,923,92.3,1.0,0.1,0.95,9743
101,901,90.1,1.0,0.1,0.9495,9843
102,938,93.8,1.0,0.1,0.949,9943
103,903,90.3,1.0,0.1,0.9485,10043
104,901,90.1,1.0,0.1,0.948,10143
105,903,90.3,1.0,0.1,0.9475,10243
106,901,90.1,1.0,0.1,0.947,10343
107,903,90.3,1.0,0.1,0.9465,10443
108,905,90.5,1.0,0.1,0.946,10543
109,904,90.4,1.0,0.1,0.9455,10643
110,903,90.3,1.0,0.1,0.945,10743
111,902,90.2,1.0,0.1,0.9445,10843
112,906,90.6,1.0,0.1,0.944,10943
113,903,90.3,1.0,0.1,0.9435,11043
114,907,90.7,1.0,0.1,0.943,11143
115,903,90.3,1.0,0.1,0.9425,11243
116,901,90.1,1.0,0.1,0.942,11343
117,906,90.6,1.0,0.1,0.9415,11443
118,904,90.4,1.0,0.1,0.941,11543
119,903,90.3,1.0,0.1,0.9405,11643
120,905,90.5,1.0,0.1,0.94,11743
121,901,90.1,1.0,0.1,0.9395,11843
122,903,90.3,1.0,0.1,0.939,11943
123,915,91.5,1.0,0.1,0.9385,12043
124,906,90.6,1.0,0.1,0.938,12143
125,908,90.8,1.0,0.1,0.9375,12243
126,901,90.1,1.0,0.1,0.937,12343
127,908,90.8,1.0,0.1,0.9365,12443
128,903,90.3,1.0,0.1,0.936,12543
129,903,90.3,1.0,0.1,0.9355,12643
130,904,90.4,1.0,0.1,0.935,12743
131,905,90.5,1.0,0.1,0.9345,12843
132,908,90.8,1.0,0.1,0.934,12888
133,901,90.1,1.0,0.1,0.9335,12988
134,903,90.3,1.0,0.1,0.933,13088
135,901,90.1,1.0,0.1,0.9325,13188
136,903,90.3,1.0,0.1,0.932,13288
137,901,90.1,1.0,0.1,0.9315,13388
138,903,90.3,1.0,0.1,0.931,13488
139,904,90.4,1.0,0.1,0.9305,13588
140,904,90.4,1.0,0.1,0.93,13688
141,903,90.3,1.0,0.1,0.9295,13717
142,905,90.5,1.0,0.1,0.929,13817
143,908,90.8,1.0,0.1,0.9285,13917
144,901,90.1,1.0,0.1,0.928,14017
145,902,90.2,1.0,0.1,0.9275,14117
146,904,90.4,1.0,0.1,0.927,14132
147,901,90.1,1.0,0.1,0.9265,14232
148,903,90.3,1.0,0.1,0.926,14332
149,901,90.1,1.0,0.1,0.9255,14335
150,907,90.7,1.0,0.1,0.925,14435
151,901,90.1,1.0,0.1,0.9245,14535
152,905,90.5,1.0,0.1,0.924,14635
153,901,90.1,1.0,0.1,0.9235,14735
154,914,91.4,1.0,0.1,0.923,14835
155,909,90.9,1.0,0.1,0.9225,14935
156,908,90.8,1.0,0.1,0.922,15035
