episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,904,90.4,1.0,0.1,1.0,0
1,907,90.7,1.0,0.1,0.9995,100
2,909,90.9,1.0,0.1,0.999,200
3,908,90.8,1.0,0.1,0.9985,300
4,949,94.9,1.0,0.1,0.998,400
5,904,90.4,1.0,0.1,0.9975,500
6,919,91.9,1.0,0.1,0.997,600
7,918,91.8,1.0,0.1,0.9965,700
8,938,93.8,1.0,0.1,0.996,800
9,903,90.3,1.0,0.1,0.9955,900
10,953,95.3,1.0,0.1,0.995,1000
11,916,91.6,1.0,0.1,0.9945,1100
12,913,91.3,1.0,0.1,0.994,1200
13,925,92.5,1.0,0.1,0.9935,1300
14,917,91.7,1.0,0.1,0.993,1380
15,913,91.3,1.0,0.1,0.9925,1480
16,910,91.0,1.0,0.1,0.992,1580
17,929,92.9,1.0,0.1,0.9915,1680
18,916,91.6,1.0,0.1,0.991,1780
19,907,90.7,1.0,0.1,0.9905,1880
20,917,91.7,1.0,0.1,0.99,1980
21,919,91.9,1.0,0.1,0.9895,2080
22,906,90.6,1.0,0.1,0.989,2180
23,920,92.0,1.0,0.1,0.9885,2280
24,912,91.2,1.0,0.1,0.988,2380
25,909,90.9,1.0,0.1,0.9875,2480
26,911,91.1,1.0,0.1,0.987,2580
27,914,91.4,1.0,0.1,0.9865,2680
28,907,90.7,1.0,0.1,0.986,2780
29,906,90.6,1.0,0.1,0.9855,2880
30,937,93.7,1.0,0.1,0.985,2980
31,926,92.6,1.0,0.1,0.9845,3080
32,905,90.5,1.0,0.1,0.984,3180
33,915,91.5,1.0,0.1,0.9835,3242
34,918,91.8,1.0,0.1,0.983,3342
35,913,91.3,1.0,0.1,0.9825,3442
36,920,92.0,1.0,0.1,0.982,3542
37,905,90.5,1.0,0.1,0.9815,3642
38,903,90.3,1.0,0.1,0.981,3742
39,907,90.7,1.0,0.1,0.9805,3786
40,907,90.7,1.0,0.1,0.9805,3885
41,904,90.4,1.0,0.1,0.98,3985
42,909,90.9,1.0,0.1,0.9795,4085
43,907,90.7,1.0,0.1,0.979,4185
44,908,90.8,1.0,0.1,0.9785,4285
45,907,90.7,1.0,0.1,0.978,4385
46,908,90.8,1.0,0.1,0.9775,4485
47,908,90.8,1.0,0.1,0.977,4585
48,903,90.3,1.0,0.1,0.9765,4685
49,903,90.3,1.0,0.1,0.976,4785
50,907,90.7,1.0,0.1,0.9755,4885
51,906,90.6,1.0,0.1,0.975,4985
52,912,91.2,1.0,0.1,0.9745,5085
53,904,90.4,1.0,0.1,0.974,5185
54,914,91.4,1.0,0.1,0.9735,5285
55,905,90.5,1.0,0.1,0.973,5385
56,903,90.3,1.0,0.1,0.9725,5485
57,908,90.8,1.0,0.1,0.972,5585
58,904,90.4,1.0,0.1,0.9715,5685
59,906,90.6,1.0,0.1,0.971,5785
60,903,90.3,1.0,0.1,0.9705,5885
61,909,90.9,1.0,0.1,0.97,5896
62,917,91.7,1.0,0.1,0.9695,5996
63,910,91.0,1.0,0.1,0.969,6096
64,906,90.6,1.0,0.1,0.9685,6196
65,907,90.7,1.0,0.1,0.968,6296
66,912,91.2,1.0,0.1,0.9675,6396
