episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
0,956,95.6,1.0,0.1,1.0
10,911,91.1,1.0,0.1,0.9955
20,910,91.0,1.0,0.1,0.9905
30,913,91.3,1.0,0.1,0.9855
40,913,91.3,1.0,0.1,0.9805
50,908,90.8,1.0,0.1,0.9755
60,907,90.7,1.0,0.1,0.9705
70,909,90.9,1.0,0.1,0.9655
80,910,91.0,1.0,0.1,0.9605
90,905,90.5,1.0,0.1,0.9555
100,910,91.0,1.0,0.1,0.9505
110,905,90.5,1.0,0.1,0.9455
120,910,91.0,1.0,0.1,0.9405
130,909,90.9,1.0,0.1,0.9355
140,906,90.6,1.0,0.1,0.9305
150,907,90.7,1.0,0.1,0.9255
160,905,90.5,1.0,0.1,0.9205
170,904,90.4,1.0,0.1,0.9155
180,905,90.5,1.0,0.1,0.9105
190,832,83.2,2.0,0.2,0.9055
200,842,84.2,3.0,0.3,0.9005
210,780,78.0,3.0,0.3,0.8955
220,862,86.2,2.0,0.2,0.8905
230,692,69.2,4.0,0.4,0.8855
240,658,65.8,5.0,0.5,0.8805
250,602,60.2,5.0,0.5,0.8755
260,570,57.0,6.0,0.6,0.8705
270,475,47.5,7.0,0.7,0.8655
280,589,58.9,5.0,0.5,0.8605
290,542,54.2,6.0,0.6,0.8555
300,484,48.4,7.0,0.7,0.8505
310,498,49.8,7.0,0.7,0.8455
320,525,52.5,7.0,0.7,0.8405
330,448,44.8,8.0,0.8,0.8355
340,457,45.7,7.0,0.7,0.8305
350,341,34.1,9.0,0.9,0.8255
360,315,31.5,9.0,0.9,0.8205
370,319,31.9,9.0,0.9,0.8155
380,289,28.9,10.0,1.0,0.8105
390,259,25.9,10.0,1.0,0.8055
400,317,31.7,9.0,0.9,0.8005
410,256,25.6,10.0,1.0,0.7955
420,251,25.1,10.0,1.0,0.7905
430,249,24.9,10.0,1.0,0.7855
440,245,24.5,10.0,1.0,0.7805
450,244,24.4,10.0,1.0,0.7755
460,245,24.5,10.0,1.0,0.7705
470,252,25.2,10.0,1.0,0.7655
480,249,24.9,10.0,1.0,0.7605
490,247,24.7,10.0,1.0,0.7555
500,260,26.0,10.0,1.0,0.7505
510,244,24.4,10.0,1.0,0.7455
520,246,24.6,10.0,1.0,0.7405
530,240,24.0,10.0,1.0,0.7355
540,240,24.0,10.0,1.0,0.7305
550,239,23.9,10.0,1.0,0.7255
560,239,23.9,10.0,1.0,0.7205
570,246,24.6,10.0,1.0,0.7155
580,245,24.5,10.0,1.0,0.7105
590,248,24.8,10.0,1.0,0.7055
600,245,24.5,10.0,1.0,0.7005
610,242,24.2,10.0,1.0,0.6955
620,243,24.3,10.0,1.0,0.6905
630,264,26.4,10.0,1.0,0.6855
640,257,25.7,10.0,1.0,0.6805
650,250,25.0,10.0,1.0,0.6755
660,253,25.3,10.0,1.0,0.6705
670,250,25.0,10.0,1.0,0.6655
680,254,25.4,10.0,1.0,0.6605
690,244,24.4,10.0,1.0,0.6555
700,245,24.5,10.0,1.0,0.6505
710,253,25.3,10.0,1.0,0.6455
720,257,25.7,10.0,1.0,0.6405
730,252,25.2,10.0,1.0,0.6355
740,240,24.0,10.0,1.0,0.6305
750,249,24.9,10.0,1.0,0.6255
760,261,26.1,10.0,1.0,0.6205
770,243,24.3,10.0,1.0,0.6155
780,241,24.1,10.0,1.0,0.6105
790,264,26.4,10.0,1.0,0.6055
800,246,24.6,10.0,1.0,0.6005
810,246,24.6,10.0,1.0,0.5955
820,256,25.6,10.0,1.0,0.5905
830,252,25.2,10.0,1.0,0.5855
840,254,25.4,10.0,1.0,0.5805
850,241,24.1,10.0,1.0,0.5755
860,246,24.6,10.0,1.0,0.5705
870,243,24.3,10.0,1.0,0.5655
880,248,24.8,10.0,1.0,0.5605
890,240,24.0,10.0,1.0,0.5555
900,250,25.0,10.0,1.0,0.5505
910,246,24.6,10.0,1.0,0.5455
920,248,24.8,10.0,1.0,0.5405
930,250,25.0,10.0,1.0,0.5355
940,253,25.3,10.0,1.0,0.5305
950,255,25.5,10.0,1.0,0.5255
960,240,24.0,10.0,1.0,0.5205
970,243,24.3,10.0,1.0,0.5155
980,248,24.8,10.0,1.0,0.5105
990,235,23.5,10.0,1.0,0.5055
1000,246,24.6,10.0,1.0,0.5005
1010,251,25.1,10.0,1.0,0.4955
1020,241,24.1,10.0,1.0,0.4905
1030,250,25.0,10.0,1.0,0.4855
1040,251,25.1,10.0,1.0,0.4805
1050,243,24.3,10.0,1.0,0.4755
1060,249,24.9,10.0,1.0,0.4705
1070,259,25.9,10.0,1.0,0.4655
1080,251,25.1,10.0,1.0,0.4605
1090,244,24.4,10.0,1.0,0.4555
1100,254,25.4,10.0,1.0,0.4505
1110,249,24.9,10.0,1.0,0.4455
1120,245,24.5,10.0,1.0,0.4405
1130,251,25.1,10.0,1.0,0.4355
1140,245,24.5,10.0,1.0,0.4305
1150,253,25.3,10.0,1.0,0.4255
1160,262,26.2,10.0,1.0,0.4205
1170,252,25.2,10.0,1.0,0.4155
1180,248,24.8,10.0,1.0,0.4105
1190,245,24.5,10.0,1.0,0.4055
1200,250,25.0,10.0,1.0,0.4005
1210,258,25.8,10.0,1.0,0.3955
1220,264,26.4,10.0,1.0,0.3905
1230,249,24.9,10.0,1.0,0.3855
1240,250,25.0,10.0,1.0,0.3805
1250,255,25.5,10.0,1.0,0.3755
1260,251,25.1,10.0,1.0,0.3705
1270,250,25.0,10.0,1.0,0.3655
1280,251,25.1,10.0,1.0,0.3605
1290,245,24.5,10.0,1.0,0.3555
1300,251,25.1,10.0,1.0,0.3505
1310,245,24.5,10.0,1.0,0.3455
1320,249,24.9,10.0,1.0,0.3405
1330,253,25.3,10.0,1.0,0.3355
1340,247,24.7,10.0,1.0,0.3305
1350,250,25.0,10.0,1.0,0.3255
1360,249,24.9,10.0,1.0,0.3205
1370,246,24.6,10.0,1.0,0.3155
1380,257,25.7,10.0,1.0,0.3105
1390,263,26.3,10.0,1.0,0.3055
1400,255,25.5,10.0,1.0,0.3005
1410,246,24.6,10.0,1.0,0.2955
1420,260,26.0,10.0,1.0,0.2905
1430,253,25.3,10.0,1.0,0.2855
1440,251,25.1,10.0,1.0,0.2805
1450,256,25.6,10.0,1.0,0.2755
1460,237,23.7,10.0,1.0,0.2705
1470,240,24.0,10.0,1.0,0.2655
1480,242,24.2,10.0,1.0,0.2605
1490,248,24.8,10.0,1.0,0.2555
1500,241,24.1,10.0,1.0,0.2505
1510,248,24.8,10.0,1.0,0.2455
1520,249,24.9,10.0,1.0,0.2405
1530,255,25.5,10.0,1.0,0.2355
1540,252,25.2,10.0,1.0,0.2305
1550,249,24.9,10.0,1.0,0.2255
1560,245,24.5,10.0,1.0,0.2205
1570,252,25.2,10.0,1.0,0.2155
1580,252,25.2,10.0,1.0,0.2105
1590,241,24.1,10.0,1.0,0.2055
1600,257,25.7,10.0,1.0,0.2005
1610,259,25.9,10.0,1.0,0.1955
1620,251,25.1,10.0,1.0,0.1905
1630,245,24.5,10.0,1.0,0.1855
1640,252,25.2,10.0,1.0,0.1805
1650,240,24.0,10.0,1.0,0.1755
1660,250,25.0,10.0,1.0,0.1705
1670,246,24.6,10.0,1.0,0.1655
1680,246,24.6,10.0,1.0,0.1605
1690,244,24.4,10.0,1.0,0.1555
1700,255,25.5,10.0,1.0,0.1505
1710,241,24.1,10.0,1.0,0.1455
1720,247,24.7,10.0,1.0,0.1405
1730,246,24.6,10.0,1.0,0.1355
1740,247,24.7,10.0,1.0,0.1305
1750,239,23.9,10.0,1.0,0.1255
1760,245,24.5,10.0,1.0,0.1205
1770,251,25.1,10.0,1.0,0.1155
1780,246,24.6,10.0,1.0,0.1105
1790,246,24.6,10.0,1.0,0.1055
1800,244,24.4,10.0,1.0,0.1005
1810,244,24.4,10.0,1.0,0.0955
1820,241,24.1,10.0,1.0,0.0905
1830,249,24.9,10.0,1.0,0.0855
1840,246,24.6,10.0,1.0,0.0805
1850,247,24.7,10.0,1.0,0.0755
1860,240,24.0,10.0,1.0,0.0705
1870,239,23.9,10.0,1.0,0.0655
1880,246,24.6,10.0,1.0,0.0605
1890,242,24.2,10.0,1.0,0.0555
1900,236,23.6,10.0,1.0,0.0505
1910,249,24.9,10.0,1.0,0.0455
1920,252,25.2,10.0,1.0,0.0405
1930,238,23.8,10.0,1.0,0.0355
1940,252,25.2,10.0,1.0,0.0305
1950,253,25.3,10.0,1.0,0.0255
1960,249,24.9,10.0,1.0,0.0205
1970,256,25.6,10.0,1.0,0.0155
1980,251,25.1,10.0,1.0,0.0105
1990,246,24.6,10.0,1.0,0.0055
2000,257,25.7,10.0,1.0,0.0005
