episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,909,90.9,1.0,0.1,1.0,0
1,913,91.3,1.0,0.1,0.9995,100
2,908,90.8,1.0,0.1,0.999,200
3,947,94.7,1.0,0.1,0.9985,300
4,914,91.4,1.0,0.1,0.998,400
5,849,84.9,2.0,0.2,0.9975,442
6,906,90.6,1.0,0.1,0.997,542
7,910,91.0,1.0,0.1,0.9965,642
8,919,91.9,1.0,0.1,0.996,742
9,869,86.9,2.0,0.2,0.9955,842
10,903,90.3,1.0,0.1,0.995,942
11,910,91.0,1.0,0.1,0.9945,1042
12,910,91.0,1.0,0.1,0.994,1142
13,907,90.7,1.0,0.1,0.9935,1242
14,922,92.2,1.0,0.1,0.993,1342
15,907,90.7,1.0,0.1,0.9925,1442
16,909,90.9,1.0,0.1,0.992,1542
17,911,91.1,1.0,0.1,0.9915,1642
18,903,90.3,1.0,0.1,0.991,1742
19,855,85.5,2.0,0.2,0.9905,1842
20,904,90.4,1.0,0.1,0.99,1848
21,905,90.5,1.0,0.1,0.9895,1948
22,908,90.8,1.0,0.1,0.989,2048
23,907,90.7,1.0,0.1,0.9885,2148
24,910,91.0,1.0,0.1,0.988,2248
25,862,86.2,2.0,0.2,0.9875,2348
26,903,90.3,1.0,0.1,0.987,2448
27,907,90.7,1.0,0.1,0.9865,2548
28,903,90.3,1.0,0.1,0.986,2648
29,903,90.3,1.0,0.1,0.9855,2748
30,906,90.6,1.0,0.1,0.985,2848
31,915,91.5,1.0,0.1,0.9845,2948
32,903,90.3,1.0,0.1,0.984,3048
33,904,90.4,1.0,0.1,0.9835,3148
34,907,90.7,1.0,0.1,0.983,3248
35,909,90.9,1.0,0.1,0.9825,3252
36,903,90.3,1.0,0.1,0.982,3352
37,903,90.3,1.0,0.1,0.9815,3452
38,903,90.3,1.0,0.1,0.981,3552
39,905,90.5,1.0,0.1,0.9805,3652
40,903,90.3,1.0,0.1,0.98,3659
41,903,90.3,1.0,0.1,0.9795,3759
42,903,90.3,1.0,0.1,0.979,3859
43,904,90.4,1.0,0.1,0.9785,3917
44,903,90.3,1.0,0.1,0.978,4017
45,905,90.5,1.0,0.1,0.9775,4117
46,903,90.3,1.0,0.1,0.977,4217
47,885,88.5,2.0,0.2,0.9765,4317
48,903,90.3,1.0,0.1,0.976,4417
49,903,90.3,1.0,0.1,0.9755,4517
50,903,90.3,1.0,0.1,0.975,4617
51,903,90.3,1.0,0.1,0.9745,4717
52,904,90.4,1.0,0.1,0.974,4735
53,903,90.3,1.0,0.1,0.9735,4835
54,904,90.4,1.0,0.1,0.973,4935
55,906,90.6,1.0,0.1,0.9725,5035
56,903,90.3,1.0,0.1,0.972,5135
57,905,90.5,1.0,0.1,0.9715,5235
58,910,91.0,1.0,0.1,0.971,5335
59,908,90.8,1.0,0.1,0.9705,5435
60,903,90.3,1.0,0.1,0.97,5535
61,905,90.5,1.0,0.1,0.9695,5635
62,908,90.8,2.0,0.2,0.969,5735
63,908,90.8,1.0,0.1,0.9685,5835
64,874,87.4,2.0,0.2,0.968,5867
65,903,90.3,1.0,0.1,0.9675,5967
66,903,90.3,1.0,0.1,0.967,6067
67,903,90.3,1.0,0.1,0.9665,6167
68,903,90.3,1.0,0.1,0.966,6267
69,903,90.3,1.0,0.1,0.9655,6367
70,903,90.3,1.0,0.1,0.965,6467
71,903,90.3,1.0,0.1,0.9645,6567
72,903,90.3,1.0,0.1,0.964,6667
73,903,90.3,1.0,0.1,0.9635,6767
74,903,90.3,1.0,0.1,0.963,6867
75,903,90.3,1.0,0.1,0.9625,6967
76,903,90.3,1.0,0.1,0.962,7067
77,903,90.3,1.0,0.1,0.9615,7167
78,903,90.3,1.0,0.1,0.961,7267
79,903,90.3,1.0,0.1,0.9605,7367
80,903,90.3,1.0,0.1,0.96,7467
81,903,90.3,1.0,0.1,0.9595,7567
82,903,90.3,1.0,0.1,0.959,7667
83,903,90.3,1.0,0.1,0.9585,7767
84,903,90.3,1.0,0.1,0.958,7867
85,903,90.3,1.0,0.1,0.9575,7967
86,903,90.3,1.0,0.1,0.957,8067
87,903,90.3,1.0,0.1,0.9565,8167
88,903,90.3,1.0,0.1,0.956,8212
89,903,90.3,1.0,0.1,0.9555,8264
90,903,90.3,1.0,0.1,0.955,8364
91,903,90.3,1.0,0.1,0.9545,8464
92,825,82.5,2.0,0.2,0.954,8564
93,903,90.3,1.0,0.1,0.9535,8664
94,903,90.3,1.0,0.1,0.953,8764
95,858,85.8,2.0,0.2,0.9525,8864
96,859,85.9,2.0,0.2,0.952,8964
97,861,86.1,2.0,0.2,0.9515,9064
98,903,90.3,1.0,0.1,0.951,9164
99,872,87.2,2.0,0.2,0.9505,9264
100,903,90.3,1.0,0.1,0.95,9364
101,903,90.3,1.0,0.1,0.9495,9464
102,858,85.8,2.0,0.2,0.949,9465
103,829,82.9,2.0,0.2,0.9485,9565
104,823,82.3,2.0,0.2,0.948,9569
105,903,90.3,1.0,0.1,0.9475,9669
106,862,86.2,2.0,0.2,0.947,9769
