episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,951,95.1,1.0,0.1,1.0,0
1,936,93.6,1.0,0.1,0.9995,100
2,982,98.2,1.0,0.1,0.999,200
3,943,94.3,1.0,0.1,0.9985,300
4,996,99.6,1.0,0.1,0.998,400
5,942,94.2,1.0,0.1,0.9975,500
6,977,97.7,1.0,0.1,0.997,555
7,909,90.9,1.0,0.1,0.9965,655
8,917,91.7,1.0,0.1,0.996,755
9,977,97.7,1.0,0.1,0.9955,855
10,930,93.0,1.0,0.1,0.995,955
11,934,93.4,1.0,0.1,0.9945,1055
12,930,93.0,1.0,0.1,0.994,1155
13,915,91.5,1.0,0.1,0.9935,1157
14,948,94.8,1.0,0.1,0.993,1257
15,957,95.7,1.0,0.1,0.9925,1357
16,910,91.0,1.0,0.1,0.992,1457
17,943,94.3,1.0,0.1,0.9915,1484
18,915,91.5,1.0,0.1,0.991,1584
19,909,90.9,1.0,0.1,0.9905,1684
20,938,93.8,1.0,0.1,0.99,1784
21,907,90.7,1.0,0.1,0.9895,1884
22,910,91.0,1.0,0.1,0.989,1901
23,919,91.9,1.0,0.1,0.9885,1975
24,917,91.7,1.0,0.1,0.988,2063
25,930,93.0,1.0,0.1,0.9875,2163
26,907,90.7,1.0,0.1,0.987,2263
27,897,89.7,2.0,0.2,0.9865,2363
28,918,91.8,1.0,0.1,0.986,2463
29,921,92.1,1.0,0.1,0.9855,2563
30,906,90.6,1.0,0.1,0.985,2663
31,926,92.6,1.0,0.1,0.9845,2763
32,908,90.8,1.0,0.1,0.984,2863
33,913,91.3,1.0,0.1,0.9835,2963
34,859,85.9,2.0,0.2,0.983,3063
35,907,90.7,1.0,0.1,0.9825,3163
36,918,91.8,1.0,0.1,0.982,3263
37,908,90.8,1.0,0.1,0.9815,3363
38,941,94.1,1.0,0.1,0.981,3463
39,908,90.8,1.0,0.1,0.9805,3563
40,907,90.7,1.0,0.1,0.98,3663
41,932,93.2,1.0,0.1,0.9795,3763
42,928,92.8,1.0,0.1,0.979,3863
43,927,92.7,1.0,0.1,0.9785,3963
44,909,90.9,1.0,0.1,0.978,4063
45,889,88.9,2.0,0.2,0.9775,4163
46,908,90.8,1.0,0.1,0.977,4263
47,942,94.2,1.0,0.1,0.9765,4363
48,907,90.7,1.0,0.1,0.976,4463
49,918,91.8,1.0,0.1,0.9755,4563
50,910,91.0,1.0,0.1,0.975,4663
51,914,91.4,1.0,0.1,0.9745,4763
52,929,92.9,1.0,0.1,0.974,4863
53,918,91.8,1.0,0.1,0.9735,4963
54,923,92.3,1.0,0.1,0.973,5063
55,931,93.1,1.0,0.1,0.9725,5163
56,908,90.8,1.0,0.1,0.972,5263
57,916,91.6,1.0,0.1,0.9715,5363
58,921,92.1,1.0,0.1,0.971,5463
59,909,90.9,1.0,0.1,0.9705,5563
60,893,89.3,2.0,0.2,0.97,5663
