episode,omega2,omega3,omega4,omega
319,81,74,73,91
320,82,74,73,91
321,82,75,73,91
322,82,76,73,91
323,82,76,73,92
324,82,77,73,92
325,82,77,73,93
326,82,77,74,93
327,82,78,74,93
328,82,78,74,94
329,82,78,74,95
330,82,79,74,95
331,82,79,74,96
332,82,79,75,96
333,82,79,75,97
334,82,79,76,97
335,82,80,76,97
336,82,80,76,98
337,83,80,76,98
338,83,80,77,98
339,83,81,77,98
340,83,81,78,98
341,84,81,78,98
342,84,82,78,98
343,85,82,78,98
344,85,82,78,99
345,86,82,78,99
346,87,82,78,99
347,87,83,78,99
348,87,84,78,99
349,88,84,78,99
350,89,84,78,99
351,89,84,78,100
352,89,84,79,100
353,89,84,79,101
354,89,85,79,101
355,89,86,79,101
356,89,86,80,101
357,89,86,81,101
358,89,86,81,102
359,89,86,81,103
360,89,87,81,103
361,89,87,81,104
362,89,88,81,104
363,89,88,81,105
364,89,89,81,105
365,89,90,81,105
366,89,90,81,106
367,89,90,81,107
368,89,90,82,107
369,89,90,83,107
370,90,90,83,107
371,91,90,83,107
372,91,91,83,107
373,91,92,83,107
374,91,92,83,108
375,92,92,83,108
376,92,92,84,108
377,93,92,84,108
378,94,92,84,108
379,94,93,84,108
380,95,93,84,108
381,95,94,84,108
382,95,94,85,108
383,95,94,85,109
384,95,94,86,109
385,95,94,87,109
386,95,95,87,109
387,95,96,87,109
388,96,96,87,109
389,96,96,88,109
390,97,96,88,109
391,97,96,88,110
392,97,96,88,111
393,97,97,88,111
394,97,97,89,111
395,98,97,89,111
396,98,98,89,111
397,98,98,90,111
398,98,98,90,112
399,98,98,90,113
400,99,98,90,113
401,99,98,91,113
402,100,98,91,113
403,100,99,91,113
404,100,99,91,114
405,100,100,91,114
406,101,100,91,114
407,102,100,91,114
408,103,100,91,114
409,103,100,91,115
410,104,100,91,115
411,104,100,91,116
412,104,100,91,117
413,104,100,91,118
414,104,101,91,118
415,104,102,91,118
416,104,102,91,119
417,104,103,91,119
418,105,103,91,119
419,106,103,91,119
420,106,103,91,120
421,106,104,91,120
422,106,104,91,121
423,106,104,91,122
424,106,104,91,123
425,106,104,91,124
426,106,105,91,124
427,107,105,91,124
428,108,105,91,124
429,108,106,91,124
430,108,107,91,124
431,108,107,92,124
432,108,107,92,125
433,109,107,92,125
434,109,107,93,125
435,110,107,93,125
436,111,107,93,125
437,111,107,93,126
438,111,107,94,126
439,112,107,94,126
440,112,107,94,127
441,113,107,94,127
442,114,107,94,127
443,114,107,94,128
444,115,107,94,128
445,115,108,94,128
446,116,108,94,128
447,117,108,94,128
448,118,108,94,128
449,118,108,94,129
450,118,109,94,129
451,118,109,94,130
452,118,109,94,131
453,119,109,94,131
454,120,109,94,131
455,121,109,94,131
456,121,109,95,131
457,121,109,95,132
458,121,110,95,132
459,121,110,95,133
460,121,110,96,133
461,121,110,97,133
462,122,110,97,133
463,123,110,97,133
464,123,111,97,133
465,123,111,97,134
466,124,111,97,134
467,124,112,97,134
468,125,112,97,134
469,125,113,97,134
470,126,113,97,134
471,126,113,98,134
472,126,113,98,135
473,126,113,98,136
474,126,113,98,137
475,127,113,98,137
476,127,113,98,138
477,128,113,98,138
478,128,114,98,138
479,128,114,99,138
480,129,114,99,138
481,129,114,99,139
482,129,115,99,139
483,129,115,99,140
484,130,115,99,140
485,130,116,99,140
486,130,116,99,141
487,130,117,99,141
488,130,117,100,141
489,130,117,101,141
490,131,117,101,141
491,131,117,102,141
492,132,117,102,141
493,132,118,102,141
494,133,118,102,141
495,134,118,102,141
496,134,119,102,141
497,134,120,102,141
498,134,120,102,142
499,134,121,102,142
500,134,122,102,142
501,134,122,103,142
502,134,122,103,143
503,135,122,103,143
504,136,122,103,143
505,136,122,103,144
506,136,122,104,144
507,137,122,104,144
508,137,122,105,144
509,137,123,105,144
510,138,123,105,144
511,138,123,106,144
512,139,123,106,144
513,140,123,106,144
514,140,123,107,144
515,140,124,107,144
516,140,125,107,144
517,140,125,108,144
518,140,125,109,144
519,141,125,109,144
520,142,125,109,144
521,143,125,109,144
522,144,125,109,144
523,144,125,109,145
524,144,125,110,145
525,144,125,110,146
526,144,125,111,146
527,144,125,111,147
528,144,126,111,147
529,144,127,111,147
530,144,128,111,147
531,145,128,111,147
532,145,128,112,147
533,146,128,112,147
534,146,128,112,148
535,147,128,112,148
536,148,128,112,148
537,148,129,112,148
538,148,130,112,148
539,148,130,112,149
540,148,130,112,150
541,149,130,112,150
542,149,131,112,150
543,150,131,112,150
544,150,131,112,151
545,151,131,112,151
546,151,132,112,151
547,151,133,112,151
548,151,133,112,152
549,151,133,113,152
550,151,134,113,152
551,151,135,113,152
552,151,135,113,153
553,152,135,113,153
554,152,135,113,154
555,152,135,114,154
556,152,135,115,154
557,152,136,115,154
558,152,136,115,155
559,152,136,115,156
560,153,136,115,156
561,153,136,116,156
562,153,136,117,156
563,153,136,118,156
564,153,137,118,156
565,153,138,118,156
