episode,omega1,omega2,omega3,omega4,omega5,omega
1,0,1,0,0,0,0
2,0,1,1,0,0,0
3,0,1,1,0,0,1
4,0,1,2,0,0,1
5,0,1,2,1,0,1
6,0,1,2,1,1,1
7,0,1,2,1,1,2
8,0,1,2,1,1,3
9,0,1,2,1,1,4
10,0,1,2,1,1,5
11,0,1,2,2,1,5
12,1,1,2,2,1,5
13,1,2,2,2,1,5
14,1,3,2,2,1,5
15,1,4,2,2,1,5
16,1,4,3,2,1,5
17,1,4,3,2,1,6
18,1,4,3,2,2,6
19,2,4,3,2,2,6
20,3,4,3,2,2,6
21,3,4,4,2,2,6
22,3,5,4,2,2,6
23,3,6,4,2,2,6
24,3,6,4,2,2,7
25,4,6,4,2,2,7
26,4,6,4,2,2,8
27,4,6,4,3,2,8
28,4,6,4,4,2,8
29,4,7,4,4,2,8
30,4,7,4,4,2,9
31,4,7,5,4,2,9
32,4,7,5,4,3,9
33,4,7,5,4,4,9
34,4,8,5,4,4,9
35,5,8,5,4,4,9
36,6,8,5,4,4,9
37,6,8,5,4,5,9
38,6,8,5,4,6,9
39,6,8,6,4,6,9
40,7,8,6,4,6,9
41,7,8,7,4,6,9
42,7,9,7,4,6,9
43,7,9,8,4,6,9
44,7,10,8,4,6,9
45,7,11,8,4,6,9
46,7,11,9,4,6,9
47,8,11,9,4,6,9
48,8,12,9,4,6,9
49,8,12,10,4,6,9
50,8,12,10,5,6,9
51,8,12,11,5,6,9
52,8,13,11,5,6,9
53,8,14,11,5,6,9
54,8,15,11,5,6,9
55,8,15,12,5,6,9
56,8,15,12,5,7,9
57,8,15,12,5,8,9
58,9,15,12,5,8,9
59,9,16,12,5,8,9
60,9,16,12,5,9,9
61,9,16,13,5,9,9
62,9,16,13,5,10,9
63,9,16,13,6,10,9
64,9,16,13,6,10,10
65,9,16,13,6,11,10
66,9,17,13,6,11,10
67,10,17,13,6,11,10
68,11,17,13,6,11,10
69,11,17,13,6,12,10
70,11,17,13,7,12,10
71,11,18,13,7,12,10
72,11,18,14,7,12,10
73,11,19,14,7,12,10
74,11,19,14,8,12,10
75,11,20,14,8,12,10
76,11,20,15,8,12,10
77,11,21,15,8,12,10
78,11,21,15,8,12,11
79,11,21,15,8,13,11
80,11,21,15,8,13,12
81,11,21,15,8,14,12
82,11,22,15,8,14,12
83,11,22,15,8,15,12
84,11,23,15,8,15,12
85,11,23,16,8,15,12
86,11,23,16,8,15,13
87,11,23,16,8,16,13
88,11,24,16,8,16,13
89,12,24,16,8,16,13
90,13,24,16,8,16,13
91,13,24,16,8,17,13
92,13,24,17,8,17,13
93,13,24,18,8,17,13
94,13,24,18,8,18,13
95,13,24,19,8,18,13
96,14,24,19,8,18,13
97,14,24,19,9,18,13
98,14,24,20,9,18,13
99,14,24,20,9,19,13
100,14,24,20,9,20,13
101,14,24,20,9,21,13
102,14,25,20,9,21,13
103,14,25,20,10,21,13
104,14,26,20,10,21,13
105,14,26,20,10,22,13
106,14,27,20,10,22,13
107,15,27,20,10,22,13
108,15,27,20,10,23,13
109,15,27,20,10,23,14
110,15,27,20,10,24,14
111,15,28,20,10,24,14
112,15,28,20,10,24,15
113,15,28,20,10,25,15
114,15,28,20,10,26,15
115,15,28,20,10,27,15
116,15,28,20,10,28,15
117,15,28,21,10,28,15
118,15,29,21,10,28,15
119,15,29,21,10,29,15
120,15,29,21,10,30,15
121,16,29,21,10,30,15
122,16,29,21,10,30,16
123,16,29,21,10,31,16
124,17,29,21,10,31,16
125,17,29,21,10,32,16
126,17,29,21,10,33,16
127,17,29,22,10,33,16
128,17,29,22,10,34,16
129,17,29,23,10,34,16
130,17,29,23,10,35,16
131,18,29,23,10,35,16
132,19,29,23,10,35,16
133,19,29,24,10,35,16
134,19,30,24,10,35,16
135,19,30,24,10,35,17
136,19,30,24,11,35,17
137,19,30,24,12,35,17
138,20,30,24,12,35,17
139,21,30,24,12,35,17
140,21,30,24,12,35,18
141,21,31,24,12,35,18
142,21,32,24,12,35,18
143,21,32,24,12,35,19
144,21,32,24,12,35,20
145,21,32,24,12,36,20
146,21,32,25,12,36,20
147,21,32,25,13,36,20
148,21,33,25,13,36,20
149,21,33,26,13,36,20
150,21,33,27,13,36,20
151,21,33,27,13,36,21
152,21,33,27,13,37,21
153,21,34,27,13,37,21
154,21,34,27,14,37,21
155,21,34,27,14,37,22
156,21,34,27,14,38,22
157,21,34,27,14,39,22
158,21,34,27,15,39,22
159,21,34,27,15,40,22
160,21,34,27,15,41,22
161,21,35,27,15,41,22
162,21,35,28,15,41,22
163,21,35,28,15,42,22
164,21,36,28,15,42,22
165,21,36,28,15,43,22
166,21,37,28,15,43,22
167,21,38,28,15,43,22
168,22,38,28,15,43,22
169,22,39,28,15,43,22
170,23,39,28,15,43,22
171,23,39,28,15,43,23
172,23,39,28,15,43,24
173,23,39,29,15,43,24
174,23,40,29,15,43,24
175,23,40,29,16,43,24
176,24,40,29,16,43,24
177,24,40,29,16,43,25
178,24,40,29,16,43,26
179,24,41,29,16,43,26
180,25,41,29,16,43,26
181,25,42,29,16,43,26
182,25,42,29,16,43,27
183,25,42,29,16,43,28
184,25,42,29,16,44,28
185,25,42,29,16,44,29
186,25,42,29,17,44,29
187,25,42,29,17,44,30
188,25,43,29,17,44,30
189,25,43,29,17,44,31
190,25,43,29,17,45,31
191,25,43,29,17,45,32
192,26,43,29,17,45,32
193,27,43,29,17,45,32
194,27,43,29,17,45,33
195,27,43,29,18,45,33
196,27,43,29,18,46,33
197,27,43,29,19,46,33
198,28,43,29,19,46,33
199,28,43,29,20,46,33
200,28,43,29,20,46,34
201,28,43,29,21,46,34
202,28,43,29,21,47,34
203,28,43,29,21,48,34
204,28,43,29,21,49,34
205,28,43,29,21,49,35
206,28,44,29,21,49,35
207,28,44,29,21,50,35
208,28,44,29,21,50,36
209,28,44,29,21,50,37
210,28,44,29,21,51,37
211,28,44,29,21,51,38
212,28,44,29,21,51,39
213,28,44,29,21,51,40
214,28,44,29,21,52,40
215,28,44,29,21,52,41
216,28,44,29,21,53,41
217,28,44,29,21,54,41
218,28,44,29,21,54,42
219,28,44,29,21,54,43
220,28,44,29,21,55,43
221,28,44,29,21,56,43
222,28,44,29,21,56,44
223,28,44,29,21,57,44
