episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,931,93.1,1.0,0.1,1.0,0
1,922,92.2,1.0,0.1,0.9995,3
2,908,90.8,1.0,0.1,0.999,103
3,961,96.1,1.0,0.1,0.9985,203
4,930,93.0,1.0,0.1,0.998,303
5,950,95.0,1.0,0.1,0.9975,403
6,913,91.3,1.0,0.1,0.997,456
7,918,91.8,1.0,0.1,0.9965,556
8,910,91.0,1.0,0.1,0.996,656
9,958,95.8,1.0,0.1,0.9955,756
10,938,93.8,1.0,0.1,0.995,856
11,939,93.9,1.0,0.1,0.9945,956
12,934,93.4,1.0,0.1,0.994,1056
13,908,90.8,1.0,0.1,0.9935,1156
14,957,95.7,1.0,0.1,0.993,1256
15,964,96.4,1.0,0.1,0.9925,1356
16,911,91.1,1.0,0.1,0.992,1456
17,968,96.8,1.0,0.1,0.9915,1556
18,947,94.7,1.0,0.1,0.991,1656
19,1000,100.0,0,0.0,0.9905,1756
20,914,91.4,1.0,0.1,0.99,1856
21,932,93.2,1.0,0.1,0.9895,1956
22,928,92.8,1.0,0.1,0.989,2056
23,928,92.8,1.0,0.1,0.9885,2156
24,938,93.8,1.0,0.1,0.988,2256
25,928,92.8,1.0,0.1,0.9875,2356
26,932,93.2,1.0,0.1,0.987,2456
27,938,93.8,1.0,0.1,0.9865,2556
28,929,92.9,1.0,0.1,0.986,2656
29,983,98.3,1.0,0.1,0.9855,2756
30,909,90.9,1.0,0.1,0.985,2856
31,915,91.5,1.0,0.1,0.9845,2956
32,912,91.2,1.0,0.1,0.984,3056
33,948,94.8,1.0,0.1,0.9835,3156
34,964,96.4,1.0,0.1,0.983,3256
35,923,92.3,1.0,0.1,0.9825,3356
36,952,95.2,1.0,0.1,0.982,3456
37,929,92.9,1.0,0.1,0.9815,3549
38,909,90.9,1.0,0.1,0.981,3649
39,907,90.7,1.0,0.1,0.9805,3749
40,907,90.7,1.0,0.1,0.98,3799
41,918,91.8,1.0,0.1,0.9795,3899
42,906,90.6,1.0,0.1,0.979,3999
43,916,91.6,1.0,0.1,0.9785,4099
44,942,94.2,1.0,0.1,0.978,4199
45,921,92.1,1.0,0.1,0.9775,4299
46,917,91.7,1.0,0.1,0.977,4399
47,913,91.3,1.0,0.1,0.9765,4499
48,906,90.6,1.0,0.1,0.976,4599
49,909,90.9,1.0,0.1,0.9755,4699
50,906,90.6,1.0,0.1,0.975,4799
51,909,90.9,1.0,0.1,0.9745,4899
52,909,90.9,2.0,0.2,0.974,4999
53,906,90.6,1.0,0.1,0.9735,5001
54,907,90.7,1.0,0.1,0.973,5101
55,910,91.0,1.0,0.1,0.9725,5201
56,906,90.6,1.0,0.1,0.972,5301
57,907,90.7,1.0,0.1,0.9715,5401
58,908,90.8,1.0,0.1,0.971,5501
59,906,90.6,1.0,0.1,0.9705,5601
60,909,90.9,1.0,0.1,0.97,5701
61,906,90.6,1.0,0.1,0.9695,5801
62,906,90.6,1.0,0.1,0.969,5901
63,906,90.6,1.0,0.1,0.9685,6001
64,906,90.6,1.0,0.1,0.968,6101
65,907,90.7,1.0,0.1,0.9675,6201
66,907,90.7,1.0,0.1,0.967,6301
67,906,90.6,1.0,0.1,0.9665,6401
68,906,90.6,1.0,0.1,0.966,6501
69,907,90.7,1.0,0.1,0.9655,6601
70,906,90.6,1.0,0.1,0.965,6701
71,910,91.0,1.0,0.1,0.9645,6765
72,908,90.8,1.0,0.1,0.964,6865
73,904,90.4,2.0,0.2,0.9635,6876
74,906,90.6,1.0,0.1,0.963,6976
75,909,90.9,1.0,0.1,0.9625,7076
76,908,90.8,1.0,0.1,0.962,7176
77,908,90.8,1.0,0.1,0.9615,7276
78,907,90.7,1.0,0.1,0.961,7376
79,906,90.6,1.0,0.1,0.9605,7476
80,914,91.4,1.0,0.1,0.96,7576
81,907,90.7,1.0,0.1,0.9595,7676
82,908,90.8,1.0,0.1,0.959,7776
83,906,90.6,1.0,0.1,0.9585,7864
84,842,84.2,2.0,0.2,0.958,7964
