episode,W_mean
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.005786903348936134
11,0.005786903348936134
12,0.019694908334628072
13,0.019694908334628072
14,0.019694908334628072
15,0.019694908334628072
16,0.019694908334628072
17,0.017765940551649363
18,0.017765940551649363
19,0.017765940551649363
20,0.016801456660160006
21,0.016801456660160006
22,0.016801456660160006
23,0.016801456660160006
24,0.016801456660160006
25,0.016801456660160006
26,0.016801456660160006
27,0.016801456660160006
28,0.016222766325266393
29,0.012745765078843408
30,0.012745765078843408
31,0.012745765078843408
32,0.012745765078843408
33,0.012745765078843408
34,0.012745765078843408
35,0.012745765078843408
36,0.012745765078843408
37,0.012745765078843408
38,0.012359971522247666
39,0.01208440469610785
40,0.01208440469610785
41,0.011877729576502988
42,0.011716982261254762
43,0.013063687674356022
44,0.013063687674356022
45,0.013063687674356022
46,0.01097748692650223
47,0.01097748692650223
48,0.01097748692650223
49,0.01097748692650223
50,0.01097748692650223
51,0.012678832748423964
52,0.012678832748423964
53,0.012678832748423964
54,0.012340160388976965
55,0.010949359890407772
56,0.010949359890407772
57,0.01082076203820919
58,0.010715545613683078
59,0.010444607726125479
60,0.009451178798576055
61,0.009451178798576055
62,0.008706107102913987
63,0.024003921709991632
64,0.02195259006232042
65,0.02195259006232042
66,0.021864909708548663
67,0.021864909708548663
68,0.021864909708548663
69,0.021864909708548663
70,0.021864909708548663
71,0.020186547451363123
72,0.020186547451363123
73,0.018787912237041845
74,0.019085970702025456
75,0.019085970702025456
76,0.019085970702025456
77,0.01899578910513453
78,0.018917631721162394
79,0.018917631721162394
80,0.031452353943384616
81,0.031452353943384616
82,0.031452353943384616
83,0.04018916180690763
84,0.03846617643397498
85,0.03846617643397498
86,0.03697292244410002
87,0.03566632520295942
88,0.035444648749503205
89,0.03537626103852758
90,0.03537626103852758
91,0.03537626103852758
92,0.03422338111987412
93,0.03455028504064502
94,0.036343273292575605
95,0.036343273292575605
96,0.0353790638908662
97,0.04116068813562793
98,0.040334222934162736
99,0.040334222934162736
100,0.03961795309289289
101,0.03834281083272357
102,0.03851544701852049
103,0.03736781898436809
104,0.036329488858230216
105,0.0357027527471191
106,0.03514975029613871
107,0.03465819256193392
108,0.03465819256193392
109,0.03458304147385585
110,0.034143226659041036
111,0.0340759862118133
112,0.0340759862118133
113,0.03438018905128836
114,0.0334362525729812
115,0.033040419239647865
116,0.03217856419423698
117,0.03182042927360206
118,0.03174830875505089
119,0.03168274464727711
120,0.030892710855650467
121,0.035595921434020614
122,0.035536058553009765
123,0.03465628979201812
124,0.03465628979201812
125,0.03433071259144091
126,0.03433071259144091
127,0.034275838283847636
128,0.034275838283847636
129,0.03397857214419019
130,0.03370607818283753
131,0.03370607818283753
132,0.032891477478215636
133,0.03264078303377119
134,0.03188436809376514
135,0.03118011970134571
136,0.03118011970134571
137,0.030881377631896443
138,0.03043254657236673
139,0.031227704372885315
