"episode","usage_mean","usage_lower","usage_upper"
0,0.321452906133,0.299782623443,0.343123188823
10,0.345889745691,0.313730492433,0.378048998948
20,0.383169288432,0.34011539476,0.426223182103
30,0.403595004633,0.363955498594,0.443234510672
40,0.42559587647,0.378499516812,0.472692236129
50,0.453542458331,0.40289937041,0.504185546252
60,0.45975288801,0.415251678015,0.504254098004
70,0.488533605089,0.444425439922,0.532641770256
80,0.499044964176,0.449428948109,0.548660980244
90,0.50674141003,0.462320403108,0.551162416953
100,0.519330334032,0.480954078875,0.557706589189
110,0.527353927401,0.4877290178,0.566978837002
120,0.553930516168,0.50825042392,0.599610608416
130,0.570717933333,0.527108543355,0.614327323311
140,0.574609279153,0.50472168276,0.644496875546
150,0.592442124343,0.535252218909,0.649632029777
160,0.592117481588,0.527950645303,0.656284317873
170,0.603662731613,0.547731382331,0.659594080896
180,0.613273295042,0.554320266544,0.67222632354
190,0.644197885862,0.589175232156,0.699220539568
200,0.647930862641,0.59061451195,0.705247213333
210,0.683781624318,0.60841355247,0.759149696167
220,0.683032235993,0.615668286584,0.750396185403
230,0.678003845024,0.606627572852,0.749380117197
240,0.708874347833,0.665480253476,0.75226844219
250,0.699891496514,0.63777413709,0.762008855938
260,0.694602727608,0.645339444115,0.743866011102
270,0.681967320655,0.637054122994,0.726880518316
280,0.688703886341,0.638226559069,0.739181213612
290,0.709452967602,0.655560399059,0.763345536145
300,0.715892488499,0.674713438221,0.757071538777
310,0.719013427674,0.681087747257,0.75693910809
320,0.741665534392,0.694699950254,0.788631118531
330,0.734668333347,0.703861669894,0.7654749968
340,0.752650643001,0.693678354674,0.811622931328
350,0.738893312287,0.670902036204,0.80688458837
360,0.786982285458,0.707286449436,0.866678121479
370,0.813923686681,0.730060572664,0.897786800698
380,0.791238677245,0.705441651672,0.877035702818
390,0.796527523028,0.71219433846,0.880860707596
400,0.781217252706,0.691833342694,0.870601162717
410,0.79210787281,0.705199258607,0.879016487013
420,0.75470753836,0.679589613763,0.829825462957
430,0.748379998188,0.7104475275,0.786312468876
440,0.77011082299,0.703769519828,0.836452126152
450,0.786320531852,0.703281620725,0.869359442978
460,0.738388594274,0.667010261363,0.809766927186
470,0.75401781506,0.689921742674,0.818113887445
480,0.755299613876,0.683647768286,0.826951459467
490,0.748506199884,0.682451895914,0.814560503854
500,0.789578705696,0.707746850561,0.871410560832
510,0.787038976612,0.698512253644,0.87556569958
520,0.782903405166,0.699513860246,0.866292950087
530,0.789562278139,0.70530781552,0.873816740758
540,0.752395835287,0.684036479537,0.820755191037
550,0.774003926773,0.712169125589,0.835838727956
560,0.778700489786,0.689787180427,0.867613799145
570,0.796583040375,0.714212393752,0.878953686999
580,0.806515320608,0.72313288052,0.889897760696
590,0.807178034126,0.730580714691,0.883775353561
600,0.785310270031,0.702650336468,0.867970203594
610,0.784392912133,0.696362923268,0.872422900998
620,0.751433007605,0.680758997084,0.822107018126
630,0.723986834794,0.700219821122,0.747753848465
640,0.756142373159,0.726938829869,0.785345916448
650,0.730190489079,0.687237823378,0.773143154781
660,0.754104795056,0.728888682957,0.779320907156
670,0.766581271128,0.730758104048,0.802404438207
680,0.731122012613,0.703352647424,0.758891377802
690,0.739722814257,0.703697944334,0.77574768418
700,0.742186467941,0.697317922395,0.787055013487
710,0.754065785347,0.715160610534,0.792970960161
720,0.737039556428,0.70354882872,0.770530284135
730,0.77877876693,0.742134584069,0.815422949791
740,0.761222464891,0.731686474924,0.790758454858
750,0.746381168406,0.718113007644,0.774649329168
760,0.754984431506,0.716192006975,0.793776856038
770,0.771347538886,0.699564141627,0.843130936145
780,0.789913198783,0.726013159149,0.853813238418
790,0.729970600523,0.693884702923,0.766056498123
800,0.72937969517,0.701393517731,0.757365872609
810,0.734215724741,0.697352959042,0.77107849044
820,0.745517483596,0.696125142027,0.794909825165
830,0.739736991637,0.707181940136,0.772292043138
840,0.730037930516,0.701193070074,0.758882790957
