episode,omega1,omega2,omega3,omega4,omega5,omega
1,1,0,0,0,0,0
2,1,0,0,1,0,0
3,2,0,0,1,0,0
4,2,0,0,1,0,1
5,3,0,0,1,0,1
6,3,0,0,1,1,1
7,4,0,0,1,1,1
8,5,0,0,1,1,1
9,5,0,0,1,1,2
10,5,0,1,1,1,2
11,5,0,1,2,1,2
12,5,0,1,3,1,2
13,5,0,1,3,2,2
14,5,1,1,3,2,2
15,5,1,1,4,2,2
16,5,1,2,4,2,2
17,5,2,2,4,2,2
18,5,2,2,4,3,2
19,5,2,2,4,3,3
20,5,3,2,4,3,3
21,5,3,2,5,3,3
22,5,3,2,5,4,3
23,5,3,2,5,5,3
24,5,3,3,5,5,3
25,5,3,3,6,5,3
26,6,3,3,6,5,3
27,6,3,4,6,5,3
28,6,4,4,6,5,3
29,6,4,5,6,5,3
30,6,4,5,7,5,3
31,7,4,5,7,5,3
32,8,4,5,7,5,3
33,8,5,5,7,5,3
34,8,5,6,7,5,3
35,8,6,6,7,5,3
36,8,6,7,7,5,3
37,9,6,7,7,5,3
38,9,6,8,7,5,3
39,9,7,8,7,5,3
40,9,7,8,7,6,3
41,9,7,8,7,6,4
42,9,7,8,7,7,4
43,9,7,8,8,7,4
44,9,8,8,8,7,4
45,10,8,8,8,7,4
46,10,8,8,8,8,4
47,10,9,8,8,8,4
48,11,9,8,8,8,4
49,11,10,8,8,8,4
50,11,11,8,8,8,4
51,12,11,8,8,8,4
52,13,11,8,8,8,4
53,13,11,8,8,8,5
54,13,12,8,8,8,5
55,14,12,8,8,8,5
56,14,12,9,8,8,5
57,14,12,9,8,8,6
58,14,13,9,8,8,6
59,14,13,9,8,8,7
60,14,13,9,8,9,7
61,15,13,9,8,9,7
62,15,14,9,8,9,7
63,15,14,10,8,9,7
64,15,14,10,9,9,7
65,15,14,11,9,9,7
66,15,14,11,9,9,8
67,15,14,11,9,9,9
68,16,14,11,9,9,9
69,16,14,11,9,10,9
70,16,15,11,9,10,9
71,16,15,12,9,10,9
72,16,15,13,9,10,9
73,16,15,13,9,11,9
74,16,15,13,9,12,9
75,16,15,13,9,13,9
76,17,15,13,9,13,9
77,17,15,14,9,13,9
78,17,15,14,9,13,10
79,17,15,14,9,14,10
80,17,15,14,10,14,10
81,17,15,14,10,15,10
82,17,15,14,10,15,11
83,17,16,14,10,15,11
84,17,16,14,11,15,11
85,17,16,14,11,15,12
86,18,16,14,11,15,12
87,19,16,14,11,15,12
88,19,16,14,11,15,13
89,19,16,15,11,15,13
90,19,16,15,11,15,14
91,20,16,15,11,15,14
92,20,16,15,12,15,14
93,20,16,16,12,15,14
94,20,16,16,13,15,14
95,20,16,16,14,15,14
96,20,17,16,14,15,14
97,20,17,16,15,15,14
98,20,17,16,15,16,14
99,20,17,16,15,16,15
100,21,17,16,15,16,15
101,21,17,16,15,17,15
102,21,18,16,15,17,15
103,21,18,16,15,17,16
104,22,18,16,15,17,16
105,22,18,16,15,17,17
106,22,18,16,15,17,18
107,22,18,16,16,17,18
108,23,18,16,16,17,18
109,23,18,16,16,17,19
110,23,18,16,16,18,19
111,23,18,16,17,18,19
112,23,18,16,17,18,20
113,23,19,16,17,18,20
114,23,19,16,17,18,21
115,23,20,16,17,18,21
116,23,20,16,18,18,21
117,23,21,16,18,18,21
118,23,21,16,18,18,22
119,23,21,16,19,18,22
120,23,21,16,19,19,22
121,23,21,17,19,19,22
122,24,21,17,19,19,22
123,24,21,18,19,19,22
124,24,21,18,19,19,23
125,25,21,18,19,19,23
126,25,21,18,19,19,24
127,25,21,18,20,19,24
128,25,21,19,20,19,24
129,25,21,19,20,20,24
130,25,22,19,20,20,24
131,25,22,19,20,21,24
132,25,22,19,21,21,24
133,25,23,19,21,21,24
134,25,23,19,21,21,25
135,25,23,19,21,21,26
136,25,23,19,21,21,27
137,25,24,19,21,21,27
138,25,24,19,21,21,28
139,25,24,19,21,21,29
140,25,24,19,22,21,29
141,26,24,19,22,21,29
142,26,25,19,22,21,29
143,26,25,20,22,21,29
144,26,25,20,22,22,29
145,26,26,20,22,22,29
146,26,26,20,23,22,29
147,27,26,20,23,22,29
148,27,26,20,24,22,29
149,27,26,21,24,22,29
150,27,27,21,24,22,29
151,27,28,21,24,22,29
152,28,28,21,24,22,29
153,28,28,22,24,22,29
154,28,28,22,24,23,29
155,28,28,22,24,24,29
156,28,28,22,24,24,30
157,28,28,23,24,24,30
158,28,28,23,24,24,31
159,28,28,23,24,24,32
160,28,28,24,24,24,32
161,28,28,24,24,25,32
162,28,28,24,24,25,33
163,28,28,24,24,25,34
164,29,28,24,24,25,34
165,29,28,25,24,25,34
166,29,28,25,25,25,34
167,29,28,25,25,25,35
168,29,28,25,25,25,36
169,29,28,26,25,25,36
170,29,28,26,25,25,37
171,29,28,26,26,25,37
172,29,28,26,26,25,38
173,29,28,26,26,26,38
174,29,28,26,26,27,38
175,29,29,26,26,27,38
176,29,29,26,26,27,39
177,29,29,26,26,28,39
178,30,29,26,26,28,39
179,30,29,26,27,28,39
180,30,29,26,28,28,39
181,30,29,27,28,28,39
182,30,29,27,28,28,40
183,30,29,27,28,28,41
184,30,29,27,28,29,41
185,30,30,27,28,29,41
186,30,30,27,28,29,42
187,30,30,27,28,30,42
188,31,30,27,28,30,42
189,31,30,27,28,30,43
190,31,30,27,28,30,44
191,31,30,27,28,30,45
192,31,30,27,28,30,46
193,32,30,27,28,30,46
194,32,30,28,28,30,46
195,32,31,28,28,30,46
196,33,31,28,28,30,46
197,33,32,28,28,30,46
198,33,33,28,28,30,46
199,33,33,28,28,30,47
200,33,33,28,28,30,48
201,33,33,28,28,30,49
202,33,33,28,28,30,50
203,33,33,28,28,30,51
204,34,33,28,28,30,51
205,35,33,28,28,30,51
206,35,33,28,28,30,52
207,35,33,28,28,30,53
208,35,33,28,28,30,54
209,35,33,28,28,30,55
210,35,33,29,28,30,55
211,35,33,29,28,30,56
212,36,33,29,28,30,56
213,36,34,29,28,30,56
214,36,34,29,28,30,57
215,36,34,29,28,30,58
216,36,34,29,28,30,59
217,36,34,29,29,30,59
218,36,34,29,30,30,59
219,36,34,29,30,30,60
220,36,34,29,30,30,61
221,36,34,29,30,30,62
222,37,34,29,30,30,62
223,37,34,29,30,30,63
224,37,34,29,30,30,64
225,38,34,29,30,30,64
226,38,34,29,30,30,65
227,38,34,29,30,30,66
228,38,34,30,30,30,66
229,38,34,31,30,30,66
230,38,34,31,30,30,67
231,38,34,31,31,30,67
232,38,34,31,31,30,68
233,38,34,31,31,30,69
234,38,34,31,32,30,69
235,38,34,31,32,30,70
236,38,34,31,32,30,71
237,38,34,31,32,30,72
238,38,34,31,32,30,73
239,38,34,31,32,30,74
240,38,34,31,32,30,75
241,38,34,31,32,30,76
242,38,34,31,32,30,77
243,38,34,31,32,30,78
244,38,34,31,32,30,79
245,38,34,31,32,30,80
246,38,34,31,32,30,81
247,38,34,31,32,30,82
248,38,34,31,32,30,83
249,38,34,31,32,30,84
250,38,34,31,32,30,85
251,38,34,31,32,30,86
252,38,34,31,32,30,87
